scenario_seed,scenario_id,rows,columns,n_p,n_q,target_mi,replicates,invalid_rate,fallback_rate,clipped_rate,median_root_iterations,median_saddlepoint_ms,p95_saddlepoint_ms,wald_analytic_valid_n,wald_analytic_fpr_10,wald_analytic_fpr_05,influence_saddlepoint_valid_n,influence_saddlepoint_fpr_10,influence_saddlepoint_fpr_05,route_lugannani_rice_rate,route_normal_near_mean_rate,route_normal_numerical_fallback_rate
2026072601,random_4x6_d1,4,6,1200,2400,0.07,2000,0.0,0.0,0.0,5.0,0.6673745228908956,0.7434601488057524,2000,0.0945,0.047,2000,0.0945,0.047,1.0,0.0,0.0
2026072601,random_4x6_d2,4,6,600,2400,0.15,2000,0.0,0.0,0.0,5.0,0.6695630145259202,0.7781784923281521,2000,0.094,0.0435,2000,0.093,0.0445,1.0,0.0,0.0
2026072601,random_4x6_d3,4,6,4800,4800,0.03,2000,0.0,0.0,0.0,5.0,0.6736250361427665,0.77267115120776,2000,0.1025,0.048,2000,0.103,0.0475,1.0,0.0,0.0
2026072601,random_4x6_d4,4,6,480,960,0.07,2000,0.0,0.0,0.0,5.0,0.6699165096506476,0.7516681216657162,2000,0.09,0.048,2000,0.09,0.0495,1.0,0.0,0.0
2026072601,random_4x6_d5,4,6,240,960,0.15,2000,0.0,0.0,0.0,5.0,0.6604380323551595,0.7633791130501777,2000,0.1135,0.058,2000,0.1125,0.0585,1.0,0.0,0.0
2026072601,random_5x5_d0,5,5,2500,2500,0.03,2000,0.0,0.0,0.0,5.0,0.6691045127809048,0.7370481849648058,2000,0.0805,0.0425,2000,0.0805,0.0425,1.0,0.0,0.0
2026072601,random_5x5_d1,5,5,1250,2500,0.07,2000,0.0,0.0005,0.0,5.0,0.6646874826401472,0.7436152081936598,2000,0.097,0.0505,2000,0.0975,0.0505,0.9995,0.0005,0.0
2026072601,random_5x5_d2,5,5,625,2500,0.15,2000,0.0,0.0,0.0,5.0,0.6651459843851626,0.752020871732384,2000,0.0975,0.0455,2000,0.0965,0.046,1.0,0.0,0.0
2026072601,random_5x5_d3,5,5,5000,5000,0.03,2000,0.0,0.0,0.0,5.0,0.6764790159650147,0.790668185800314,2000,0.096,0.05,2000,0.097,0.05,1.0,0.0,0.0
2026072601,random_5x5_d4,5,5,500,1000,0.07,2000,0.0,0.0,0.0,5.0,0.6690000300295651,0.7534232747275382,2000,0.099,0.0525,2000,0.099,0.0535,1.0,0.0,0.0
2026072601,random_5x5_d5,5,5,250,1000,0.15,2000,0.0,0.0,0.0,6.0,0.6843539886176586,0.7894632406532764,2000,0.1095,0.0655,2000,0.11,0.067,1.0,0.0,0.0
2026072601,random_5x10_d0,5,10,5000,5000,0.03,2000,0.0,0.0,0.0,5.0,0.6777710514143109,0.742879236349836,2000,0.0875,0.045,2000,0.088,0.045,1.0,0.0,0.0
2026072601,random_5x10_d1,5,10,2500,5000,0.07,2000,0.0,0.0005,0.0,5.0,0.6686869892291725,0.7480124884750694,2000,0.1095,0.061,2000,0.1095,0.06,0.9995,0.0,0.0005
2026072601,random_5x10_d2,5,10,1250,5000,0.15,2000,0.0,0.0,0.0,5.0,0.6688125431537628,0.7611920300405473,2000,0.0945,0.0485,2000,0.093,0.0485,1.0,0.0,0.0
2026072601,random_5x10_d3,5,10,10000,10000,0.03,2000,0.0,0.0,0.0,5.0,0.6820420967414975,0.8042226952966303,2000,0.098,0.0535,2000,0.0985,0.0535,1.0,0.0,0.0
2026072601,random_5x10_d4,5,10,1000,2000,0.07,2000,0.0,0.0,0.0,5.0,0.6713750190101564,0.7523252919781953,2000,0.092,0.0465,2000,0.092,0.046,1.0,0.0,0.0
