k,nu0,N,lam_min,lam_tp,mu,sigma2,nu,a
10,81,10,0.1,0.001,25.936993513022095,20.406609098946873,65.93232900504452,0.39338809813676745
10,81,17,0.17,0.0017,42.64988262837159,32.31927684002645,112.565172619276,0.37889057188784603
10,81,29,0.29,0.0029,62.508123290230756,41.83275811608966,186.8041053579913,0.33461857366806913
10,81,50,0.5,0.005,81.43260545170195,57.32382152910022,231.36172899031928,0.35197094094637094
10,81,62,0.62,0.0062,87.05598668773735,75.45152400846449,200.89043707918435,0.43335057633142965
10,81,76,0.76,0.0076,91.88964216143347,85.15555272043783,198.3125249454168,0.4633577338936359
10,81,94,0.94,0.0094,94.54323897262971,107.65580333690257,166.05559121533824,0.5693469173827911
10,81,116,1.16,0.0116,96.8508810441631,130.33272321184103,143.94072229710656,0.6728525430368079
10,81,142,1.42,0.0142,97.09015307555107,148.28783817768172,127.13784137764425,0.7636605437334668
10,81,176,1.76,0.0176,95.40298428001061,181.5559843599975,100.2636122584054,0.9515215154440309
10,81,216,2.16,0.0216,93.88962553755884,197.60377528813945,89.22159276288008,1.0523195409331547
10,81,267,2.67,0.0267,91.81542300920286,187.58989471846283,89.8776761403999,1.0215598238852546
10,81,329,3.29,0.0329,89.12503519665958,194.1839841688685,81.81181298554561,1.089390785318571
10,81,406,4.06,0.0406,87.27070470026287,190.54213778257161,79.9421690919762,1.0916729642381224
10,81,500,5.0,0.05,85.81071262759428,190.91234164151751,77.13988879233611,1.1124038933812883
10,81,909,9.09,0.0909,83.1852532087678,169.77893617386027,81.51525162486213,1.0204869831180932
10,81,1651,16.51,0.1651,82.01344799716651,162.69612892592082,82.68427401178705,0.9918868972046012
10,81,3000,30.0,0.3,82.06278293438021,172.62255188832168,78.02341315510114,1.051771251934971
11,100,12,0.09917355371900827,0.0008196161464380849,33.19242082193365,27.203970040498437,80.99823653534271,0.4097918947587271
11,100,21,0.17355371900826447,0.0014343282562666484,54.798802243881376,39.076397398554086,153.69424651593562,0.35654426555388086
11,100,35,0.2892561983471074,0.0023905470937777475,77.9135083276778,47.71530556843457,254.44727672216717,0.3062068862806189
11,100,60,0.49586776859504134,0.004098080732190424,100.11549015303913,67.56809282078707,296.6817901806961,0.33745074172588446
11,100,75,0.6198347107438017,0.00512260091523803,107.37906768482473,86.5136859606857,266.5535296254018,0.4028424153142102
11,100,92,0.7603305785123967,0.00628372378935865,112.74363838866076,109.7547759549254,231.62778815809096,0.4867448732520417
11,100,113,0.9338842975206612,0.007718052045625299,116.69604380069836,132.90935647676258,204.92111315150984,0.5694681334002824
11,100,140,1.1570247933884297,0.00956218837511099,119.24213214405816,162.97878136352114,174.4851195880096,0.6833942769767991
11,100,172,1.421487603305785,0.011747831432279216,119.01882296479944,185.51116139765927,152.71836059029715,0.779335389043989
11,100,212,1.7520661157024793,0.0144798852537395,118.43241803383144,211.3134726749545,132.75289515416338,0.8921268187507184
11,100,262,2.165289256198347,0.01789495253056485,115.88810352207094,234.70613142216106,114.44142900370909,1.0126411783823055
11,100,323,2.669421487603306,0.022061334608291783,113.34880017416516,253.54375155992338,101.34700951513133,1.118422741000976
11,100,398,3.2892561983471076,0.027183935523529813,110.2978972647476,257.93749656379487,94.33003191155599,1.1692765816952453
11,100,491,4.0578512396694215,0.03353596065842497,107.68534809729599,231.5804332988978,100.14778908258481,1.075264357643437
11,100,605,5.0,0.04132231404958678,105.78454446719613,236.63281922552198,94.5800323451098,1.1184659366704652
11,100,1099,9.082644628099173,0.07506317874462128,102.7184512970856,209.78664007203318,100.58867650722547,1.0211731067930607
11,100,1998,16.512396694214875,0.13646608838194113,101.16106340545808,210.98322429168667,97.00828853743458,1.0428084541087534
11,100,3630,30.0,0.24793388429752067,101.08688187254128,195.26024250704404,104.6660349850224,0.9658040632475158
12,121,14,0.09722222222222222,0.0006751543209876543,40.75691540699585,31.24704959888244,106.32211199565072,0.3833343285041505
12,121,25,0.1736111111111111,0.0012056327160493826,67.89821789052417,44.78015130812986,205.9022963538811,0.3297594009045365
12,121,42,0.2916666666666667,0.002025462962962963,95.13441772982434,55.56093390025643,325.7885280704738,0.29201279214240805
12,121,72,0.5,0.003472222222222222,121.7431667710723,82.84368012167877,357.8160369911094,0.3402395482181735
12,121,89,0.6180555555555556,0.0042920524691358024,129.82607570049453,104.12006433091301,323.75719396835564,0.4009982731478203
12,121,109,0.7569444444444444,0.005256558641975309,136.42478291120636,126.60119443237937,294.0212606336939,0.46399631991637186
12,121,135,0.9375,0.006510416666666667,141.13047619556792,154.92936230618434,257.1211940035553,0.5488869820416923
12,121,166,1.1527777777777777,0.008005401234567902,143.27794384002124,194.82041172265022,210.74351511225746,0.6798688147708881
