anchor_configuration_id,configuration_label,configuration_id,sample_scale,baseline_n_p,baseline_n_q,n_p,n_q,mi_p,mi_q,true_delta_p_minus_q,mi_difference,minimum_expected_count,mean_delta_corrected,mean_delta_error,sd_delta_corrected,mean_standard_error,rms_standard_error,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,rejection_wilson_low,rejection_wilson_high,median_degrees_of_freedom,p_any_zero_cell_rate,q_any_zero_cell_rate,p_empty_margin_rate,q_empty_margin_rate
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p02_scale1,1.0,20,200,20,200,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,2.8020537383859043,-0.015698933154241673,0.0043010668457583445,0.11199156309410642,0.09529156623399276,0.09997783852227056,normal_wald,Normal Wald,50000,50000,1.0,9562,0.19124,0.18781660403834327,0.19471083586990673,,0.09786,0.0,2e-05,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p02_scale1,1.0,20,200,20,200,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,2.8020537383859043,-0.015698933154241673,0.0043010668457583445,0.11199156309410642,0.09529156623399276,0.09997783852227056,simple_welch,Simple Welch,50000,50000,1.0,8992,0.17984,0.17649831417899622,0.1832308772999043,23.844612655556453,0.09786,0.0,2e-05,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p02_scale1,1.0,20,200,20,200,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,2.8020537383859043,-0.015698933154241673,0.0043010668457583445,0.11199156309410642,0.09529156623399276,0.09997783852227056,expanded_welch,Expanded Welch,50000,49917,0.99834,2586,0.051805997956607966,0.049895959443126484,0.05378501442607811,4.402653982183446,0.09786,0.0,2e-05,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale1,1.0,20,200,20,200,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,2.8020537383859043,-0.0459207916089957,0.00407920839044746,0.1128638059781823,0.096737623536896,0.10119884620019534,normal_wald,Normal Wald,50000,50000,1.0,11596,0.23192,0.22824124441259253,0.235639945154073,,0.09528,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale1,1.0,20,200,20,200,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,2.8020537383859043,-0.0459207916089957,0.00407920839044746,0.1128638059781823,0.096737623536896,0.10119884620019534,simple_welch,Simple Welch,50000,50000,1.0,10988,0.21976,0.21615206510053936,0.2234109928081534,24.84710973062941,0.09528,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale1,1.0,20,200,20,200,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,2.8020537383859043,-0.0459207916089957,0.00407920839044746,0.1128638059781823,0.096737623536896,0.10119884620019534,expanded_welch,Expanded Welch,50000,49940,0.9988,2533,0.050720865038045654,0.0488307022076775,0.052680140986089245,4.648552919335163,0.09528,0.0,0.0,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p1_scale1,1.0,20,200,20,200,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,2.8020537383859043,-0.09407669138105508,0.0059233086189450085,0.11443880254448023,0.09877888621234356,0.10294102947142568,normal_wald,Normal Wald,50000,50000,1.0,15809,0.31618,0.3121185633523122,0.32026967995619443,,0.0977,0.0,2e-05,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p1_scale1,1.0,20,200,20,200,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,2.8020537383859043,-0.09407669138105508,0.0059233086189450085,0.11443880254448023,0.09877888621234356,0.10294102947142568,simple_welch,Simple Welch,50000,50000,1.0,15005,0.3001,0.29609836860187017,0.3041323453431329,26.2312962684307,0.0977,0.0,2e-05,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p1_scale1,1.0,20,200,20,200,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,2.8020537383859043,-0.09407669138105508,0.0059233086189450085,0.11443880254448023,0.09877888621234356,0.10294102947142568,expanded_welch,Expanded Welch,50000,49925,0.9985,3049,0.061071607411116675,0.059004676296771655,0.06320607966185095,5.08772971003664,0.0977,0.0,2e-05,0.0
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0p2_scale1,1.0,20,200,20,200,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,2.8020537383859043,-0.1953641188268875,0.004635881173123774,0.11677084245669953,0.10086685372491531,0.10472342345334225,normal_wald,Normal Wald,50000,50000,1.0,26503,0.53006,0.5256831728810003,0.534432208503758,,0.09686,0.0,0.0,0.0
