configuration_id,anchor_configuration_id,configuration_label,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high
CURVE_CURVE_C1_N0_n10_di0p1_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.19999999999999996,0.1,0.9741358138509235,expanded_welch,Expanded Welch,10,9,0.9,0,0.0,0.0,0.2991450484195441
CURVE_CURVE_C1_N0_n10_di0p1_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.19999999999999996,0.1,0.9741358138509235,normal_wald,Normal Wald,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n10_di0p1_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.19999999999999996,0.1,0.9741358138509235,simple_welch,Simple Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p2_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.30000000000001115,0.2,0.6679301267662596,bartlett_lr,Oracle Bartlett LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p2_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.30000000000001115,0.2,0.6679301267662596,constrained_lr,Constrained LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p2_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.30000000000001115,0.2,0.6679301267662596,empirical_lr,Oracle-calibrated LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p2_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.30000000000001115,0.2,0.6679301267662596,expanded_welch,Expanded Welch,10,9,0.9,0,0.0,0.0,0.2991450484195441
CURVE_CURVE_C1_N0_n10_di0p2_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.30000000000001115,0.2,0.6679301267662596,normal_wald,Normal Wald,10,10,1.0,2,0.2,0.05668215145437519,0.5098375284633583
CURVE_CURVE_C1_N0_n10_di0p2_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.30000000000001115,0.2,0.6679301267662596,simple_welch,Simple Welch,10,10,1.0,2,0.2,0.05668215145437519,0.5098375284633583
CURVE_CURVE_C1_N0_n10_di0p5_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.5999999999981145,0.5,0.09376710941234961,bartlett_lr,Oracle Bartlett LR,10,10,1.0,4,0.4,0.16818032970623614,0.6873262302663417
CURVE_CURVE_C1_N0_n10_di0p5_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.5999999999981145,0.5,0.09376710941234961,constrained_lr,Constrained LR,10,10,1.0,5,0.5,0.236593090512564,0.7634069094874361
