p_X,p_Y,ratio,N,lam,mu,sigma2,nu,a
0.5,0.05,10.0,200,5.0,1.0775151473428792,2.3276432120372768,0.9976089864194814,1.0800976755534142
0.5,0.05,10.0,300,7.5,1.03788265927667,2.1079342777777077,1.0220436431849782,1.0154973970018861
0.5,0.05,10.0,500,12.5,1.0637252736895069,2.1636433763437166,1.0459315710317543,1.0170123009483307
0.5,0.05,10.0,750,18.75,0.966577078970064,1.9119618994879886,0.9772906560957029,0.9890374710340117
0.5,0.05,10.0,1000,25.0,1.0132431426459805,2.0202082201562517,1.016391930174105,0.99690199475749
0.5,0.1,5.0,10,0.5,0.8984799977609405,1.2461726686035959,1.2955930212802456,0.6934893774536572
0.5,0.1,5.0,20,1.0,1.1969279183646555,1.810277158858368,1.5827813268817073,0.7562181193549743
0.5,0.1,5.0,30,1.5,1.2292806510011778,2.17350333845365,1.3905025055088998,0.8840549701500051
0.5,0.1,5.0,50,2.5,1.1868233194996574,2.6005090153079453,1.0832876051701663,1.0955754629106342
0.5,0.1,5.0,75,3.75,1.1674287020984606,2.8141038125001097,0.9686137152648083,1.2052572493042786
0.5,0.1,5.0,100,5.0,1.1006061355697923,2.550913046185696,0.9497257207297937,1.1588673566975296
0.5,0.1,5.0,150,7.5,1.0231628084730644,2.2370609102639682,0.9359263557280265,1.0932086720404188
0.5,0.1,5.0,200,10.0,1.0176044912066882,2.0902976587266973,0.9907860693436435,1.027067822906322
0.5,0.1,5.0,300,15.0,0.9730981076697023,1.911059662297405,0.9909893927769932,0.981946037729874
0.5,0.1,5.0,500,25.0,1.0378972825856594,2.1312679549232247,1.0108825281310079,1.0267239305288998
0.5,0.1,5.0,750,37.5,1.0195003273165597,1.9779739257722184,1.0509551251974052,0.9700702750034763
0.5,0.1,5.0,1000,50.0,1.0041241264592236,2.095154150817889,0.9624735830954496,1.0432744795237079
0.5,0.25,2.0,10,1.25,1.3010296612714276,2.492485140883616,1.3582252922943971,0.9578894375274435
0.5,0.25,2.0,20,2.5,1.1361253559296436,2.473488737225965,1.0436925019791108,1.0885633017150704
0.5,0.25,2.0,30,3.75,1.154351364881607,2.796777741284709,0.9529016581717563,1.2114066073684389
0.5,0.25,2.0,50,6.25,1.0699827791338117,2.3999490644795283,0.9540728714517107,1.1214895750109037
0.5,0.25,2.0,75,9.375,1.0169937048344895,2.194886317333886,0.9424416996041135,1.0791051640241434
0.5,0.25,2.0,100,12.5,1.02846350426261,2.2126795980469818,0.9560689948366113,1.0757210094846454
0.5,0.25,2.0,150,18.75,1.0512792282043548,2.0266217430535214,1.0906702441559237,0.9638836612966792
0.5,0.25,2.0,200,25.0,1.0057738986648048,2.017522669162595,1.0027953100078661,1.002970285787351
0.5,0.25,2.0,300,37.5,1.0033127889879812,2.003790054976014,1.0047325567337353,0.998586919736761
0.5,0.25,2.0,500,62.5,1.0044186003438933,1.9500949545268675,1.034674462774101,0.9707580852540928
0.5,0.25,2.0,750,93.75,1.040707465631291,2.2307787977650557,0.9710259305905174,1.0717607355741752
0.5,0.25,2.0,1000,125.0,0.9875088075137629,1.9519024936808524,0.9992032369181456,0.9882962454760935
0.5,0.5,1.0,10,2.5,1.2605923497387366,2.775853833247938,1.1449400203903979,1.1010116925678812
0.5,0.5,1.0,20,5.0,1.130220121277056,2.6703215079282057,0.9567368713819064,1.181328069487456
0.5,0.5,1.0,30,7.5,1.111138819600522,2.6865265370012947,0.919126954019473,1.208906794367583
0.5,0.5,1.0,50,12.5,1.0493947021370482,2.0941027253390625,1.051743286084498,0.9977669608368092
0.5,0.5,1.0,75,18.75,1.0485928794456039,2.2618727218299712,0.9722448272283266,1.0785275993032846
0.5,0.5,1.0,100,25.0,1.009652156025249,2.075910694992028,0.982120742116364,1.02803261628459
0.5,0.5,1.0,150,37.5,1.013368981680442,2.1677460898160428,0.9474510855828151,1.0695739306236356
0.5,0.5,1.0,200,50.0,1.0316948273213289,2.1091787378092004,1.0092973133487688,1.0221911954746485
0.5,0.5,1.0,300,75.0,1.023904462773145,2.1724846449316115,0.9651440817615218,1.0608824963257066
0.5,0.5,1.0,500,125.0,0.9856358614119751,1.9341015851676708,1.0045781036026677,0.9811440821547264
0.5,0.5,1.0,750,187.5,1.0151583808690636,2.060801340006934,1.0001415645869403,1.0150146907336317
0.5,0.5,1.0,1000,250.0,0.9667296147941185,1.7819010381850726,1.0489540418831254,0.9216129365006361
