scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,correction,valid_replicates,mean_delta_error,mean_standard_error,standardized_mean_bias,empirical_delta_sd,sd_to_mean_se_ratio
stress_5x5_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,5,5,75,750,0.15,0.1388119458620256,10.0,1604980699,10000,analytic,10000,0.014492348822860802,0.06563029191592938,0.22081798510701595,0.07404344643613027,1.1281901127451621
stress_5x5_d7,ultra_sparse,Ultra-skewed and sparse,variant_2,5,5,75,750,0.15,0.1388119458620256,10.0,1604980699,10000,jackknife,10000,-0.005995678192512094,0.06563029191592938,-0.0913553485361972,0.08415072264897816,1.28219333165199
adversarial_5x5_d8,widespread_sparse,Widespread sparsity,variant_1,5,5,435,435,0.1,6.063697772594656e-06,1.0,3929233077,10000,analytic,10000,-0.006024729296126864,0.02747890573812138,-0.21924924353042122,0.027765722315450894,1.0104377001057803
adversarial_5x5_d8,widespread_sparse,Widespread sparsity,variant_1,5,5,435,435,0.1,6.063697772594656e-06,1.0,3929233077,10000,jackknife,10000,-0.0008111786574238118,0.02747890573812138,-0.029520049493763745,0.028797191668698853,1.0479744696947164
adversarial_5x5_d9,widespread_sparse,Widespread sparsity,variant_2,5,5,414,828,0.15,3.2838953149874064e-06,2.0,3930232604,10000,analytic,10000,0.001817241028141692,0.027834846979420916,0.06528654637423476,0.028653826550963598,1.0294228156579477
adversarial_5x5_d9,widespread_sparse,Widespread sparsity,variant_2,5,5,414,828,0.15,3.2838953149874064e-06,2.0,3930232604,10000,jackknife,10000,0.0031954289112159796,0.027834846979420916,0.11479958605766541,0.02907233072673231,1.0444580761743114
fixed_8x8_d0,well_sampled,Well sampled,variant_1,8,8,960,960,0.1,3.4643703443067744,1.0,3539429236,10000,analytic,10000,8.780013716976106e-05,0.021660337516783524,0.0040534981092390215,0.021298621959867512,0.9833005576835663
fixed_8x8_d0,well_sampled,Well sampled,variant_1,8,8,960,960,0.1,3.4643703443067744,1.0,3539429236,10000,jackknife,10000,0.00011948145743581478,0.021660337516783524,0.005516140149858445,0.021203465503478916,0.9789074379404015
fixed_8x8_d1,well_sampled,Well sampled,variant_2,8,8,960,960,0.15,2.34106720743747,1.0,3443095830,10000,analytic,10000,0.0001633794200101467,0.02517275108019002,0.006490328351068469,0.02527279385161091,1.0039742486271044
fixed_8x8_d1,well_sampled,Well sampled,variant_2,8,8,960,960,0.15,2.34106720743747,1.0,3443095830,10000,jackknife,10000,2.370120065793344e-05,0.02517275108019002,0.0009415419308930983,0.025171808944525743,0.9999625731942735
fixed_8x8_d2,moderate,Moderate,variant_1,8,8,512,512,0.1,0.790437231357831,1.0,857867422,10000,analytic,10000,-0.0005952487425567232,0.031043078140522276,-0.019174926528297834,0.03167803033052536,1.0204539056059085
fixed_8x8_d2,moderate,Moderate,variant_1,8,8,512,512,0.1,0.790437231357831,1.0,857867422,10000,jackknife,10000,-0.0014403719988389397,0.031043078140522276,-0.046399135817615365,0.03214833787635306,1.0356040638376007
fixed_8x8_d3,moderate,Moderate,variant_2,8,8,384,768,0.15,0.0574263359065833,2.0,2620080462,10000,analytic,10000,0.004228200222313517,0.03405458638341717,0.12415949425162986,0.03544145690977346,1.0407249264678082
fixed_8x8_d3,moderate,Moderate,variant_2,8,8,384,768,0.15,0.0574263359065833,2.0,2620080462,10000,jackknife,10000,-0.005028684239490023,0.03405458638341717,-0.1476654035046138,0.03667546082122416,1.0769609828261846
stress_8x8_d4,highly_sparse,Highly skewed and sparse,variant_1,8,8,975,975,0.1,1.0252706755956682,1.0,3256796944,10000,analytic,10000,-8.58840795443102e-05,0.021322727015282504,-0.004027818743951233,0.02107466188343889,0.9883661629365784
stress_8x8_d4,highly_sparse,Highly skewed and sparse,variant_1,8,8,975,975,0.1,1.0252706755956682,1.0,3256796944,10000,jackknife,10000,9.584040566855555e-05,0.021322727015282504,0.004494753677607206,0.021142254965611673,0.9915361646968757
stress_8x8_d5,highly_sparse,Highly skewed and sparse,variant_2,8,8,460,920,0.15,1.0959133078799437,2.0,1780852127,10000,analytic,10000,0.002034256129964409,0.032796035876387145,0.06202750044645046,0.03391511720433367,1.0341224571214795
