scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,absolute_fpr_error_10,fpr_05,absolute_fpr_error_05,fpr_01,absolute_fpr_error_01
adversarial_2x2_d9,widespread_sparse,Widespread sparsity,variant_2,2,2,50,100,0.15,0.3115180759622168,2.0,3974158138,10000,analytic_simple,Analytic correction + Simple Welch,9541,0.9541,0.11026097893302589,0.010260978933025883,0.06309611151870873,0.013096111518708722,0.019704433497536946,0.009704433497536946
adversarial_2x2_d9,widespread_sparse,Widespread sparsity,variant_2,2,2,50,100,0.15,0.3115180759622168,2.0,3974158138,10000,analytic_expanded,Analytic correction + Expanded Welch,9541,0.9541,0.10344827586206896,0.0034482758620689585,0.05481605701708416,0.004816057017084159,0.016455298186772875,0.006455298186772875
adversarial_2x2_d9,widespread_sparse,Widespread sparsity,variant_2,2,2,50,100,0.15,0.3115180759622168,2.0,3974158138,10000,jackknife_normal,Jackknife correction + Normal Wald,9541,0.9541,0.13814065611571114,0.03814065611571113,0.07776962582538519,0.027769625825385183,0.02693637983439891,0.016936379834398912
adversarial_2x2_d9,widespread_sparse,Widespread sparsity,variant_2,2,2,50,100,0.15,0.3115180759622168,2.0,3974158138,10000,jackknife_simple,Jackknife correction + Simple Welch,9541,0.9541,0.13468189917199455,0.034681899171994546,0.07546378786290746,0.025463787862907455,0.024840163504873704,0.014840163504873704
adversarial_2x2_d9,widespread_sparse,Widespread sparsity,variant_2,2,2,50,100,0.15,0.3115180759622168,2.0,3974158138,10000,jackknife_expanded,Jackknife correction + Expanded Welch,9541,0.9541,0.12220941201131957,0.022209412011319568,0.06561157111413898,0.01561157111413898,0.018551514516298082,0.008551514516298082
fixed_2x5_d0,well_sampled,Well sampled,variant_1,2,5,200,200,0.1,5.59716154223284,1.0,3229974002,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1019,0.001899999999999999,0.0502,0.0001999999999999988,0.0097,0.0002999999999999999
fixed_2x5_d0,well_sampled,Well sampled,variant_1,2,5,200,200,0.1,5.59716154223284,1.0,3229974002,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1009,0.000899999999999998,0.0496,0.0004000000000000045,0.0095,0.0005000000000000004
fixed_2x5_d0,well_sampled,Well sampled,variant_1,2,5,200,200,0.1,5.59716154223284,1.0,3229974002,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.0972,0.002800000000000011,0.0472,0.002800000000000004,0.0084,0.0016000000000000007
fixed_2x5_d0,well_sampled,Well sampled,variant_1,2,5,200,200,0.1,5.59716154223284,1.0,3229974002,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1004,0.0003999999999999976,0.0495,0.0005000000000000004,0.0096,0.00040000000000000105
fixed_2x5_d0,well_sampled,Well sampled,variant_1,2,5,200,200,0.1,5.59716154223284,1.0,3229974002,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.0995,0.0005000000000000004,0.0488,0.0011999999999999997,0.0092,0.0008000000000000004
fixed_2x5_d0,well_sampled,Well sampled,variant_1,2,5,200,200,0.1,5.59716154223284,1.0,3229974002,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.0956,0.004400000000000001,0.0459,0.0040999999999999995,0.0082,0.0017999999999999995
