configuration_id,alpha,chi_squared_threshold,bartlett_scale,bartlett_threshold,empirical_threshold,development_valid_count
LR_C1_N6_n100_scale2,0.01,6.634896601021215,0.8519704211483499,5.6527356514477995,4.486473075750325,5000
LR_C1_N6_n100_scale2,0.05,3.8414588206941205,0.8519704211483499,3.272809289290813,2.8808510482081147,5000
LR_C1_N6_n100_scale2,0.1,2.705543454095418,0.8519704211483499,2.3050429960208345,2.2126440852699716,5000
LR_C1_N6_n200_scale0.5,0.01,6.634896601021215,0.6244044022853359,4.142858646385658,4.125457924222928,5000
LR_C1_N6_n200_scale0.5,0.05,3.8414588206941205,0.6244044022853359,2.398623798839244,2.0987427929102864,5000
LR_C1_N6_n200_scale0.5,0.1,2.705543454095418,0.6244044022853359,1.6893532433114526,1.5264919434405897,5000
LR_C1_N6_n200_scale1,0.01,6.634896601021215,0.8535852353743533,5.663449776867191,4.687222840426784,5000
LR_C1_N6_n200_scale1,0.05,3.8414588206941205,0.8535852353743533,3.2790125316430765,2.859455233774156,5000
LR_C1_N6_n200_scale1,0.1,2.705543454095418,0.8535852353743533,2.309411946079578,2.2065696568806743,5000
LR_C1_N6_n200_scale2,0.01,6.634896601021215,1.0294370114581652,6.830208128289218,5.99161035250836,5000
LR_C1_N6_n200_scale2,0.05,3.8414588206941205,1.0294370114581652,3.9545398880149634,3.8999623592053467,5000
LR_C1_N6_n200_scale2,0.1,2.705543454095418,1.0294370114581652,2.785186567754189,2.7653030431788466,5000
LR_C1_N7_n1000_scale0.5,0.01,6.634896601021215,0.36375786216867134,2.4134958032976614,2.6232478080658126,5000
LR_C1_N7_n1000_scale0.5,0.05,3.8414588206941205,0.36375786216867134,1.3973608482246787,1.8630537685453987,5000
LR_C1_N7_n1000_scale0.5,0.1,2.705543454095418,0.36375786216867134,0.9841627028661921,1.500957193966741,5000
LR_C1_N7_n1000_scale1,0.01,6.634896601021215,0.6444234496802687,4.27568295590198,3.2918107180442746,5000
LR_C1_N7_n1000_scale1,0.05,3.8414588206941205,0.6444234496802687,2.475526145036402,2.2839439433116127,5000
LR_C1_N7_n1000_scale1,0.1,2.705543454095418,0.6444234496802687,1.743515645948039,1.797297954968343,5000
LR_C1_N7_n1000_scale2,0.01,6.634896601021215,0.9271851546963326,6.151777631412027,4.224209879140062,5000
LR_C1_N7_n1000_scale2,0.05,3.8414588206941205,0.9271851546963326,3.5617435909248694,2.997541000368301,5000
LR_C1_N7_n1000_scale2,0.1,2.705543454095418,0.9271851546963326,2.5085397260231104,2.457166521008162,5000
LR_C2_N0_np20_nq200_scale0.5,0.01,6.634896601021215,1.101446659330311,7.307984696196852,6.394420330208504,5000
LR_C2_N0_np20_nq200_scale0.5,0.05,3.8414588206941205,1.101446659330311,4.2311619850084945,3.70890936689608,5000
LR_C2_N0_np20_nq200_scale0.5,0.1,2.705543454095418,1.101446659330311,2.980011799186389,2.736089195831312,5000
LR_C2_N0_np20_nq200_scale1,0.01,6.634896601021215,1.103711467903935,7.323011466903955,6.671148012246931,5000
LR_C2_N0_np20_nq200_scale1,0.05,3.8414588206941205,1.103711467903935,4.239862153880827,4.32547994292247,5000
LR_C2_N0_np20_nq200_scale1,0.1,2.705543454095418,1.103711467903935,2.9861393371975367,3.1204356980101693,5000
LR_C2_N0_np20_nq200_scale2,0.01,6.634896601021215,1.073405928175325,7.121937344366486,7.245584058941176,5000
LR_C2_N0_np20_nq200_scale2,0.05,3.8414588206941205,1.073405928175325,4.123444670974462,4.053077479748708,5000
LR_C2_N0_np20_nq200_scale2,0.1,2.705543454095418,1.073405928175325,2.9041463825619673,2.9279290617052993,5000
LR_C2_N3_np500_nq50_scale0.5,0.01,6.634896601021215,0.9151474812460904,6.071908912752812,5.367654891931807,5000
