cohort,ratio,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
development,20,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,216,1.0,0.8382901234567902,2.373780864197531,0.09515895061728395,0.04960030864197531,0.005666666666666667,0.11283333333333333,0.9279999999999999,0.045706790123456784,0.03755555555555556,0.002333333333333333,0.06916666666666667,0.896
development,20,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,216,1.0,0.773608024691358,2.4670370370370374,0.09690586419753087,0.05123302469135803,0.005999999999999998,0.12933333333333333,0.9279999999999999,0.04727314814814815,0.039094135802469135,0.002333333333333333,0.07650000000000001,0.896
development,20,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,216,1.0,0.6905108024691358,2.545262345679012,0.09895833333333333,0.05309104938271605,0.005999999999999998,0.13416666666666666,0.9279999999999999,0.048601851851851854,0.04028703703703704,0.002,0.08983333333333335,0.896
development,20,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,216,1.0,0.986929012345679,2.1067438271604937,0.08895987654320987,0.044833333333333336,0.005666666666666667,0.07433333333333333,0.9263333333333333,0.04086882716049383,0.03316820987654321,0.002333333333333333,0.03833333333333333,0.89
development,20,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,216,1.0,0.9865555555555555,2.116280864197531,0.08920216049382716,0.04485339506172839,0.005666666666666667,0.07433333333333333,0.9263333333333333,0.04112654320987655,0.033354938271604934,0.002333333333333333,0.03833333333333333,0.89
development,20,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,216,1.0,0.9859660493827159,2.1364969135802467,0.08963271604938272,0.044938271604938275,0.005666666666666667,0.07433333333333333,0.9263333333333333,0.041587962962962965,0.033742283950617284,0.002333333333333333,0.0445,0.89
development,20,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",216,1.0,0.7731543209876544,2.475262345679013,0.0970246913580247,0.05134567901234567,0.005999999999999998,0.12933333333333333,0.9279999999999999,0.04743981481481482,0.03923611111111111,0.002333333333333333,0.07650000000000001,0.896
holdout,1,normal,Always Normal Wald,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,expanded_no_fallback,Always Expanded Welch,108,0.9853858024691358,1.0,0.24070374523609334,0.04671699358355044,0.008616339749782893,0.0045000000000000005,0.020433333333333335,0.07133333333333333,0.009279563415605084,0.003090806954765288,0.0023101945003353454,0.0057666666666666665,0.02933333333333333
holdout,1,expanded_fallback,Expanded with Wald fallback,108,0.995432098765432,0.9869896918236479,0.23184889325829425,0.047476918274326575,0.008121847157772184,0.004333333333333335,0.017866666666666666,0.07133333333333333,0.009431836010832997,0.0030126084336114483,0.0021666666666666666,0.005199999999999998,0.02933333333333333
holdout,1,ratio_ge_2,Expanded if ratio >= 2,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_3,Expanded if ratio >= 3,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_4,Expanded if ratio >= 4,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_6,Expanded if ratio >= 6,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_10,Expanded if ratio >= 10,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
holdout,1,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",108,0.995432098765432,0.0,0.23816117159447056,0.050457441682892554,0.007981233348702337,0.004833333333333332,0.015866666666666664,0.07266666666666666,0.010715801036211827,0.003166976762148944,0.0021666666666666666,0.0063333333333333314,0.029666666666666668
