cohort,regime,regime_label,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
holdout,highly_sparse,Highly skewed and sparse,normal,Always Normal Wald,156,1.0,0.0,0.19190170940170936,0.05303846153846154,0.005333333333333334,0.003333333333333334,0.012333333333333332,0.03666666666666667,0.011677350427350427,0.002771367521367521,0.001666666666666667,0.007000000000000001,0.02133333333333333
holdout,highly_sparse,Highly skewed and sparse,expanded_no_fallback,Always Expanded Welch,156,1.0,1.0,0.13153846153846152,0.05160897435897436,0.003976495726495726,0.0031666666666666683,0.008166666666666666,0.019000000000000003,0.010536324786324788,0.0018354700854700855,0.001333333333333334,0.003666666666666667,0.008666666666666668
holdout,highly_sparse,Highly skewed and sparse,expanded_fallback,Expanded with Wald fallback,156,1.0,1.0,0.13153846153846152,0.05160897435897436,0.003976495726495726,0.0031666666666666683,0.008166666666666666,0.019000000000000003,0.010536324786324788,0.0018354700854700855,0.001333333333333334,0.003666666666666667,0.008666666666666668
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_2,Expanded if ratio >= 2,156,1.0,0.9230769230769231,0.134508547008547,0.05167094017094017,0.004038461538461538,0.0031666666666666683,0.008333333333333331,0.019000000000000003,0.010583333333333335,0.0018824786324786323,0.001333333333333334,0.004,0.008666666666666668
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_3,Expanded if ratio >= 3,156,1.0,0.7692307692307693,0.13957264957264956,0.051801282051282045,0.004160256410256411,0.003333333333333334,0.0085,0.019000000000000003,0.010660256410256412,0.001959401709401709,0.001333333333333334,0.004166666666666667,0.008666666666666668
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_4,Expanded if ratio >= 4,156,1.0,0.6153846153846154,0.14596153846153845,0.05197649572649573,0.004318376068376068,0.003333333333333334,0.008833333333333332,0.019000000000000003,0.010773504273504275,0.0020555555555555557,0.001333333333333334,0.004333333333333333,0.011333333333333332
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_6,Expanded if ratio >= 6,156,1.0,0.46153846153846156,0.1553846153846154,0.05217094017094018,0.0045128205128205125,0.003333333333333334,0.009500000000000001,0.025999999999999995,0.010927350427350428,0.002205128205128205,0.001666666666666667,0.005166666666666666,0.011333333333333332
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_10,Expanded if ratio >= 10,156,1.0,0.3076923076923077,0.16472222222222221,0.05240811965811966,0.004720085470085469,0.003333333333333334,0.009999999999999995,0.025999999999999995,0.011111111111111112,0.00235042735042735,0.001666666666666667,0.005999999999999998,0.012333333333333333
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,156,1.0,0.6153846153846154,0.14596153846153845,0.05197649572649573,0.004318376068376068,0.003333333333333334,0.008833333333333332,0.019000000000000003,0.010773504273504275,0.0020555555555555557,0.001333333333333334,0.004333333333333333,0.011333333333333332
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,156,1.0,0.6153568376068376,0.14596153846153845,0.05197649572649573,0.004318376068376068,0.003333333333333334,0.008833333333333332,0.019000000000000003,0.010773504273504275,0.0020555555555555557,0.001333333333333334,0.004333333333333333,0.011333333333333332
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,156,1.0,0.6140940170940171,0.14596153846153845,0.05198076923076923,0.004318376068376068,0.003333333333333334,0.008833333333333332,0.019000000000000003,0.010777777777777778,0.0020555555555555557,0.001333333333333334,0.004333333333333333,0.011333333333333332
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,156,1.0,0.6153376068376069,0.14596153846153845,0.05197649572649573,0.004318376068376068,0.003333333333333334,0.008833333333333332,0.019000000000000003,0.010777777777777778,0.0020555555555555557,0.001333333333333334,0.004333333333333333,0.011333333333333332
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,156,1.0,0.6151153846153846,0.14797008547008547,0.05198504273504273,0.004326923076923077,0.003333333333333334,0.008833333333333332,0.020333333333333328,0.010820512820512822,0.0020940170940170937,0.001333333333333334,0.004666666666666666,0.011333333333333332
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,156,1.0,0.6124786324786324,0.15322649572649572,0.05206196581196581,0.004403846153846154,0.003333333333333334,0.009000000000000005,0.025666666666666657,0.010935897435897438,0.0021837606837606834,0.0015000000000000005,0.005166666666666666,0.011333333333333332
holdout,highly_sparse,Highly skewed and sparse,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",156,1.0,0.6153098290598291,0.14596153846153845,0.05197649572649573,0.004318376068376068,0.003333333333333334,0.008833333333333332,0.019000000000000003,0.010777777777777778,0.0020555555555555557,0.001333333333333334,0.004333333333333333,0.011333333333333332
holdout,ultra_sparse,Ultra-skewed and sparse,normal,Always Normal Wald,156,1.0,0.0,0.12942307692307692,0.050818376068376074,0.0037756410256410255,0.0030000000000000027,0.007666666666666665,0.019333333333333327,0.010683760683760684,0.0018333333333333335,0.001333333333333334,0.0035000000000000005,0.014333333333333332
holdout,ultra_sparse,Ultra-skewed and sparse,expanded_no_fallback,Always Expanded Welch,156,1.0,1.0,0.11158119658119658,0.05025854700854701,0.003369658119658119,0.0029999999999999957,0.006333333333333333,0.013999999999999999,0.010344017094017093,0.0015576923076923077,0.001333333333333334,0.003,0.007000000000000001
holdout,ultra_sparse,Ultra-skewed and sparse,expanded_fallback,Expanded with Wald fallback,156,1.0,1.0,0.11158119658119658,0.05025854700854701,0.003369658119658119,0.0029999999999999957,0.006333333333333333,0.013999999999999999,0.010344017094017093,0.0015576923076923077,0.001333333333333334,0.003,0.007000000000000001
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_2,Expanded if ratio >= 2,156,1.0,0.9230769230769231,0.11111111111111113,0.050284188034188035,0.0033867521367521368,0.0029999999999999957,0.006499999999999999,0.013999999999999999,0.010356837606837607,0.0015448717948717949,0.001333333333333334,0.003,0.007000000000000001
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_3,Expanded if ratio >= 3,156,1.0,0.7692307692307693,0.11399572649572648,0.05036111111111111,0.003450854700854701,0.0029999999999999957,0.0066666666666666645,0.013999999999999999,0.010401709401709402,0.0015897435897435897,0.001333333333333334,0.0031666666666666666,0.007000000000000001
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_4,Expanded if ratio >= 4,156,1.0,0.6153846153846154,0.11626068376068376,0.050416666666666665,0.003506410256410256,0.0029999999999999957,0.006666666666666668,0.013999999999999999,0.010444444444444444,0.0016239316239316241,0.001333333333333334,0.0031666666666666666,0.01
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_6,Expanded if ratio >= 6,156,1.0,0.46153846153846156,0.11833333333333333,0.05049572649572649,0.0035427350427350425,0.002999999999999999,0.006833333333333334,0.013999999999999999,0.010482905982905983,0.001658119658119658,0.001333333333333334,0.003333333333333333,0.01
