k,shape,n,nu0,A_nu,A_a,r2_nu,r2_a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
6,one_rare_0.8,11,25,0.47938405152770575,-0.005892468841841142,0.7536383209399251,0.4156437998266421,2.57884718878862,0.9976342744117835,5.974620959135804,0.9957701598559674,5.952380952380952,0.992063492063492,0.8,-0.2231435513142097
7,one_rare_0.8,10,36,0.5235358762232909,-0.004617014240578659,0.7282581248923374,0.4166900890659747,2.8022473569553297,0.9981806486019477,6.975261755720492,0.9964659651029274,6.953642384105959,0.9933774834437085,0.8,-0.2231435513142097
8,one_rare_0.8,11,49,0.6076118614154683,-0.004358802264839246,0.8015474904725132,0.5549637366055916,2.9956150234411254,0.9985383411470418,7.975721442120748,0.9969651802650935,7.954545454545452,0.9943181818181815,0.8,-0.2231435513142097
9,one_rare_0.8,10,64,0.5656608729848362,-0.0030183885693763506,0.7458006497477561,0.4930148867754187,3.1660834921220875,0.9987881387356241,8.97606729513266,0.9973408105702956,8.955223880597016,0.9950248756218907,0.8,-0.2231435513142097
10,one_rare_0.8,11,81,0.5601367443641571,-0.0023757647859003455,0.7559608847874135,0.48675800017097093,3.3185101915292,0.9989711085669125,9.976336940502746,0.9976336940502746,9.955752212389381,0.9955752212389382,0.8,-0.2231435513142097
11,one_rare_0.8,12,100,0.6339119038395589,-0.002323840560460093,0.8174155752746188,0.6246529437360293,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
12,one_rare_0.8,11,121,0.5769924913449951,-0.0015703367751812893,0.7040091428014202,0.39819602844783386,3.582162179082898,0.9992188700334538,11.976730170504657,0.9980608475420548,11.956521739130434,0.9963768115942028,0.8,-0.2231435513142097
13,one_rare_0.8,11,144,0.5941504520330643,-0.0013892676242561503,0.7171524455518739,0.4341009217508819,3.6978714276846776,0.9993059499270253,12.976877944332761,0.9982213803332893,12.956810631229233,0.9966777408637871,0.8,-0.2231435513142097
14,one_rare_0.8,11,169,0.5791489073974733,-0.0011500364403156747,0.7149718699451462,0.4178930708789409,3.804983152940025,0.9993770559440522,13.977003117370328,0.998357365526452,13.95705521472393,0.9969325153374236,0.8,-0.2231435513142097
15,one_rare_0.8,11,196,0.7178241820839997,-0.0013486402799965135,0.8058351763989458,0.6419125239613572,3.9046874102459808,0.9994360770263149,14.977110506250039,0.9984740337500025,14.95726495726496,0.9971509971509973,0.8,-0.2231435513142097
4,two_rare,11,9,0.28850727683622923,-0.015441271968549549,0.6562233399252149,0.5971074237200107,1.6098403047164005,0.8049201523582002,3.052180546228299,0.7630451365570747,2.6845637583892623,0.6711409395973156,0.3,-1.2039728043259361
5,two_rare,11,16,0.2053487808955063,-0.0033249330824929027,0.723016611417353,0.3555708355181041,2.0441278659219817,0.8803579535571894,4.124238789866329,0.8248477579732658,3.768844221105528,0.7537688442211057,0.3,-1.2039728043259361
6,two_rare,11,25,0.2360516914755412,-0.002104618715534761,0.7802345612661745,0.2451203109478306,2.3689955935892812,0.9164525957062727,5.165813623286329,0.8609689372143882,4.8192771084337345,0.8032128514056224,0.3,-1.2039728043259361
