k,shape,nu0,N,lam_min,lam_tp,mu,sigma2,nu,a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
11,uniform,100,172,1.4214876033057853,0.011747831432279216,119.25037638583127,190.7359192794952,149.11352116456018,0.7997287935694829,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,212,1.7520661157024793,0.0144798852537395,117.95733555926134,212.9632109413638,130.66982743861024,0.9027128746663315,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,262,2.165289256198347,0.01789495253056485,115.55758884093436,236.53546360135545,112.90954967527259,1.023452747560127,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,323,2.669421487603306,0.022061334608291783,112.82071703460316,232.43054094154357,109.52531574069886,1.0300880328134014,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,398,3.2892561983471076,0.027183935523529813,109.69174575767195,238.93380397111298,100.71642343935932,1.0891147839827398,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,491,4.0578512396694215,0.03353596065842497,107.52402132069965,246.630821465422,93.75482830798744,1.1468638283617776,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,605,5.0,0.04132231404958678,105.21510746941806,227.61436428451137,97.27170668335974,1.0816619863771466,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,1099,9.082644628099175,0.07506317874462128,102.53673850806051,214.05293924668698,98.23535038454845,1.0437865606085182,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,1998,16.512396694214875,0.13646608838194113,101.04876885449222,207.9299787627772,98.21434838559703,1.028859535449617,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,uniform,100,3630,30.0,0.24793388429752067,100.54114739352316,205.51413822617485,98.37301128238096,1.0220399485883231,3.4594316186372978,1.0000000000000002,11.000000000000004,1.0000000000000002,11.0,1.0,1.0,0.0
11,one_rare_0.8,100,19,0.10049586776859507,0.001285095707819115,50.498612375228575,37.82554389240546,134.83533027719898,0.37452062654062435,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,32,0.16925619834710748,0.0021643717184321935,73.56616710483652,47.16389772780751,229.4967635512391,0.32055426824531935,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,55,0.290909090909091,0.0037200138910553327,96.4944921363383,67.62817157712531,275.3641506345053,0.3504250350453817,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,95,0.5024793388429754,0.006425478539095575,113.59787488640016,116.43579573923819,221.6582468780688,0.5124910824946153,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,116,0.6135537190082646,0.007845847479316702,116.68059376235841,136.82866465270425,198.9986673522278,0.5863385685685707,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
