condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.035,0.04668669242812148
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.036000000000000004,0.04796674244052491
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.037,0.049021785451928326
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.038,0.050186823461931276
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.039,0.05144687147393464
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.04,0.05243191348473776
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.041,0.053486954495340834
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.042,0.0545869915043433
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.043000000000000003,0.055987054520147725
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.044,0.056912085527549686
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.045,0.05812213453895262
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.046,0.05915217154675432
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.047,0.06024721855855765
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.048,0.06140227257256172
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.049,0.06268233158676553
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.05,0.06373237159876952
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.051000000000000004,0.06480741461017295
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.052000000000000005,0.0659474696267785
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.053,0.06713252864378398
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.054,0.06846758865738735
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.055,0.06992263866939054
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.056,0.07097268168159442
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.057,0.0723127326921967
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.058,0.07379779970880132
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.059000000000000004,0.07487284371920405
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.06,0.07620789473260799
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.061,0.07735294074461152
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.062,0.07858299675981614
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.063,0.07979804276981847
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.064,0.08086306877622022
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.065,0.08185812279182526
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.066,0.08299816680422918
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.067,0.08401821181683312
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.068,0.08495324982683608
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.069,0.08608829883903953
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.07,0.08707833484864243
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.07100000000000001,0.088218383861246
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.07200000000000001,0.08922341486904822
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.073,0.09016344187605024
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.074,0.09114845988045149
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.075,0.09227349488785311
