display_id,section,figure_key,row_key,row_label,column_key,column_label,x_kind,x_value,shape,profile,dominant_p,dominant_q,pattern,constructor,baseline_mi,mi_direction,mi_difference,target_mi_p,target_mi_q,n_p,n_q,pair_id,configuration_id
display_00075,main,main_2x2_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.005,2x2,same_skew,,,first,additive,0.02,q_higher,0.005,0.02,0.025,20,20,pair_912f7fd65fdd36a9,config_5f9adab2098afb55
display_00076,main,main_2x2_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.01,2x2,same_skew,,,first,additive,0.02,q_higher,0.01,0.02,0.03,20,20,pair_002394c5f121757e,config_395f469992a2037e
display_00077,main,main_2x2_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_6efac570a6eb6806,config_3a38f3c24c868319
display_00078,main,main_2x2_moderate,same_skew,same skew,50,nP=nQ=50,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_cd3f51adc4b4ed85,config_4fa1b8764eb1feab
display_00079,main,main_2x2_moderate,same_skew,same skew,50,nP=nQ=50,mi_difference,0.001,2x2,same_skew,,,first,additive,0.02,q_higher,0.001,0.02,0.021,50,50,pair_9fab52b2674275fb,config_05a7dedc833455ac
display_00080,main,main_2x2_moderate,same_skew,same skew,50,nP=nQ=50,mi_difference,0.002,2x2,same_skew,,,first,additive,0.02,q_higher,0.002,0.02,0.022,50,50,pair_c6d13f7ebf1a5166,config_bf2a294ae6623ceb
display_00081,main,main_2x2_moderate,same_skew,same skew,50,nP=nQ=50,mi_difference,0.005,2x2,same_skew,,,first,additive,0.02,q_higher,0.005,0.02,0.025,50,50,pair_912f7fd65fdd36a9,config_9fbfc983be50f22b
display_00082,main,main_2x2_moderate,same_skew,same skew,50,nP=nQ=50,mi_difference,0.01,2x2,same_skew,,,first,additive,0.02,q_higher,0.01,0.02,0.03,50,50,pair_002394c5f121757e,config_9fbb215850dac08d
display_00083,main,main_2x2_moderate,same_skew,same skew,50,nP=nQ=50,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_6efac570a6eb6806,config_359414319f8fb7d3
display_00084,main,main_2x2_moderate,same_skew,same skew,100,nP=nQ=100,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,100,100,pair_cd3f51adc4b4ed85,config_6dbf8a7718ae549e
display_00085,main,main_2x2_moderate,same_skew,same skew,100,nP=nQ=100,mi_difference,0.001,2x2,same_skew,,,first,additive,0.02,q_higher,0.001,0.02,0.021,100,100,pair_9fab52b2674275fb,config_acd443eededaf04c
display_00086,main,main_2x2_moderate,same_skew,same skew,100,nP=nQ=100,mi_difference,0.002,2x2,same_skew,,,first,additive,0.02,q_higher,0.002,0.02,0.022,100,100,pair_c6d13f7ebf1a5166,config_4e1d20c5fe9e3808
display_00087,main,main_2x2_moderate,same_skew,same skew,100,nP=nQ=100,mi_difference,0.005,2x2,same_skew,,,first,additive,0.02,q_higher,0.005,0.02,0.025,100,100,pair_912f7fd65fdd36a9,config_b81a2f421a512f73
display_00088,main,main_2x2_moderate,same_skew,same skew,100,nP=nQ=100,mi_difference,0.01,2x2,same_skew,,,first,additive,0.02,q_higher,0.01,0.02,0.03,100,100,pair_002394c5f121757e,config_36a2d4f61e85b75b
display_00089,main,main_2x2_moderate,same_skew,same skew,100,nP=nQ=100,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,100,100,pair_6efac570a6eb6806,config_93263fdc08e2378e
display_00090,main,main_2x2_large,same_skew,same skew,250,nP=nQ=250,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,250,250,pair_cd3f51adc4b4ed85,config_f70a142c88b85017
display_00091,main,main_2x2_large,same_skew,same skew,250,nP=nQ=250,mi_difference,0.001,2x2,same_skew,,,first,additive,0.02,q_higher,0.001,0.02,0.021,250,250,pair_9fab52b2674275fb,config_04e965546ba77858
display_00092,main,main_2x2_large,same_skew,same skew,250,nP=nQ=250,mi_difference,0.002,2x2,same_skew,,,first,additive,0.02,q_higher,0.002,0.02,0.022,250,250,pair_c6d13f7ebf1a5166,config_efba755de613663d
display_00093,main,main_2x2_large,same_skew,same skew,250,nP=nQ=250,mi_difference,0.005,2x2,same_skew,,,first,additive,0.02,q_higher,0.005,0.02,0.025,250,250,pair_912f7fd65fdd36a9,config_c16777f1d74f6195
display_00094,main,main_2x2_large,same_skew,same skew,250,nP=nQ=250,mi_difference,0.01,2x2,same_skew,,,first,additive,0.02,q_higher,0.01,0.02,0.03,250,250,pair_002394c5f121757e,config_137c560697e34979
display_00095,main,main_2x2_large,same_skew,same skew,250,nP=nQ=250,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,250,250,pair_6efac570a6eb6806,config_996e00bbe34ae783
display_00096,main,main_2x2_large,same_skew,same skew,500,nP=nQ=500,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_cd3f51adc4b4ed85,config_895d00be250e7299
display_00097,main,main_2x2_large,same_skew,same skew,500,nP=nQ=500,mi_difference,0.001,2x2,same_skew,,,first,additive,0.02,q_higher,0.001,0.02,0.021,500,500,pair_9fab52b2674275fb,config_a05ceea05d403e8a
display_00098,main,main_2x2_large,same_skew,same skew,500,nP=nQ=500,mi_difference,0.002,2x2,same_skew,,,first,additive,0.02,q_higher,0.002,0.02,0.022,500,500,pair_c6d13f7ebf1a5166,config_0e40317bb85d95ab
display_00099,main,main_2x2_large,same_skew,same skew,500,nP=nQ=500,mi_difference,0.005,2x2,same_skew,,,first,additive,0.02,q_higher,0.005,0.02,0.025,500,500,pair_912f7fd65fdd36a9,config_ee5644dbe6ea0398
display_00100,main,main_2x2_large,same_skew,same skew,500,nP=nQ=500,mi_difference,0.01,2x2,same_skew,,,first,additive,0.02,q_higher,0.01,0.02,0.03,500,500,pair_002394c5f121757e,config_200611907f5a6074
