pair_id,shape,profile,n_p,n_q,baseline_mi,mi_difference,input_index,method,median_microseconds,valid
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,97,expanded_welch,149.667,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,98,normal_wald,83.916,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,98,expanded_welch,148.5,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,99,normal_wald,83.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,99,expanded_welch,147.458,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,100,normal_wald,85.459,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,100,expanded_welch,151.209,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,101,normal_wald,86.666,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,101,expanded_welch,148.709,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,102,normal_wald,84.084,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,102,expanded_welch,148.459,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,103,normal_wald,83.459,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,103,expanded_welch,149.959,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,104,normal_wald,83.792,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,104,expanded_welch,148.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,105,normal_wald,83.625,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,105,expanded_welch,147.709,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,106,normal_wald,84.958,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,106,expanded_welch,152.375,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,107,normal_wald,84.083,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,107,expanded_welch,149.5,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,108,normal_wald,83.334,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,108,expanded_welch,150.708,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,109,normal_wald,83.292,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,109,expanded_welch,149.625,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,110,normal_wald,85.125,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,110,expanded_welch,151.208,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,111,normal_wald,85.0,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,111,expanded_welch,150.542,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,112,normal_wald,85.458,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,112,expanded_welch,149.166,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,113,normal_wald,85.458,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,113,expanded_welch,148.291,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,114,normal_wald,84.709,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,114,expanded_welch,149.333,True
pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.0,115,normal_wald,85.458,True
