absolute_mi_difference,achieved_mi_p,achieved_mi_q,both_reject,columns,configuration_id,constructor,dominant_p,dominant_q,method_a,method_b,n_p,n_q,neither_rejects,nominal_alpha,only_method_a_rejects,only_method_b_rejects,pair_id,paired_95_high,paired_95_low,paired_standard_error,pattern,profile,rejection_rate_difference_a_minus_b,replicates,rows,shape,signed_mi_difference_q_minus_p,simulation_seed,target_mi_p,target_mi_q
0.0010000000000000772,0.01999999999999995,0.021000000000000026,276,2,config_04e965546ba77858,additive,,,expanded_welch,normal_wald,250,250,19457,0.05,0,267,pair_9fab52b2674275fb,-0.01175935185214438,-0.014940648147855621,0.0008115551774773571,first,same_skew,-0.01335,20000,2,2x2,0.0010000000000000772,3018006929740710769,0.02,0.021
0.009999999999999787,0.019999999999999997,0.029999999999999784,2230,8,config_04ed5d30344ab1e0,additive,,,expanded_welch,normal_wald,250,50,17285,0.05,0,485,pair_2ec66db67e17568d,-0.022118049668587287,-0.026381950331412714,0.0010877297609248541,first,uniform,-0.02425,20000,8,8x8,0.009999999999999787,18045670323140321548,0.02,0.03
0.009999999999999978,0.029999999999999975,0.019999999999999997,18682,8,config_04f425ba74ab1bcf,additive,,,expanded_welch,normal_wald,250,50,1075,0.05,0,243,pair_c5ab331656ce5ed6,-0.010631602177689476,-0.013668397822310522,0.0007746927664849609,first,different_skew,-0.01215,20000,8,8x8,-0.009999999999999978,13523212849228850512,0.03,0.02
9.999999999990973e-06,9.999999999994985e-06,1.9999999999985958e-05,4,2,config_0501dfeec7d4616c,additive,0.9,0.95,expanded_welch,normal_wald,20,20,19980,0.05,0,16,pair_0c669ea97c665f3c,-0.00040814703492596634,-0.0011918529650740337,0.00019992498218062945,first,custom_extreme,-0.0008,20000,2,2x2,9.999999999990973e-06,1099341287365395608,1e-05,2e-05
9.999999999011149e-06,9.99999999991951e-06,1.999999999893066e-05,0,3,config_05058e62414da057,additive,0.999,0.9995,expanded_welch,normal_wald,20,20,20000,0.05,0,0,pair_2a4ae4edefd9bd76,0.0,0.0,0.0,first,custom_extreme,0.0,20000,3,3x3,9.999999999011149e-06,17550285430919118847,1e-05,2e-05
0.0010000000000000009,0.020999999999999998,0.019999999999999997,1893,8,config_053d67fd89336efa,additive,,,expanded_welch,normal_wald,250,50,17597,0.05,0,510,pair_70c64564418a2077,-0.023315193681597277,-0.02768480631840272,0.0011146971012258775,first,uniform,-0.0255,20000,8,8x8,-0.0010000000000000009,14245058759306566867,0.021,0.02
0.001000000000000066,9.999999999979871e-05,0.0010999999999998645,1284,5,config_055d71369e5bf650,loglinear,,,expanded_welch,normal_wald,20,20,17883,0.05,0,833,pair_d9ea6e0334212d61,-0.03888100923300684,-0.04441899076699316,0.0014127503913230425,first,different_skew,-0.04165,20000,5,5x5,0.001000000000000066,7111880777120666595,0.0001,0.0011
0.0,0.0,0.0,43,2,config_055d862b5e3ea64e,additive,,,expanded_welch,normal_wald,20,20,19747,0.05,0,210,pair_5329160e6cee4e51,-0.009087285248838816,-0.011912714751161185,0.0007207728322250942,first,different_skew,-0.0105,20000,2,2x2,0.0,3461126253885132824,0.0,0.0
0.0009999999999998669,0.00010000000000014209,0.001100000000000009,68,5,config_057933f8c49fd4c9,additive,,,expanded_welch,normal_wald,100,100,19718,0.05,0,214,pair_a66fc3e71562797d,-0.009274038419479172,-0.012125961580520827,0.0007275314186330753,first,different_skew,-0.0107,20000,5,5x5,0.0009999999999998669,16442313577648651671,0.0001,0.0011
0.002000000000000047,0.019999999999999872,0.02199999999999992,203,5,config_05a0ae7f769a7865,additive,,,expanded_welch,normal_wald,250,250,19652,0.05,0,145,pair_481f236ca322acfb,-0.006074179893586552,-0.008425820106413448,0.0005999082175578818,first,same_skew,-0.00725,20000,5,5x5,0.002000000000000047,12155913841401328831,0.02,0.022
