configuration_id,shape,alphabet_size,regime,sample_size,stage,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,mean_observed_zero_cell_fraction_p,mean_observed_zero_cell_fraction_q,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
3x3_ultra_n75,3x3,3,ultra,75,equal_mi_null,20,0.00010174847354541034,0.5555555555555556,0.8888888888888888,0.48333333333333334,0.4888888888888889,1.0,16.510521061718464,58.3968456136063,51.5,1.2505644436666685e-09
3x3_ultra_n100,3x3,3,ultra,100,alternative,20,2.767654570478444e-07,0.5555555555555556,0.8888888888888888,0.3888888888888889,0.5111111111111111,1.0,16.707604518160224,52.00946219265464,40.0,1.1742051359009409e-09
3x3_ultra_n100,3x3,3,ultra,100,equal_mi_null,20,0.00013566463139388045,0.5555555555555556,0.8888888888888888,0.4111111111111111,0.45555555555555555,1.0,18.015187582932413,35.39835426490756,56.5,1.404096353074813e-09
3x3_ultra_n150,3x3,3,ultra,150,alternative,20,4.1514818557176655e-07,0.4444444444444444,0.8888888888888888,0.36666666666666664,0.4777777777777778,1.0,20.241666585206985,52.806021180003896,62.5,1.5777870954192252e-09
3x3_ultra_n150,3x3,3,ultra,150,equal_mi_null,20,0.00020349694709082068,0.3333333333333333,0.8888888888888888,0.35,0.4,1.0,17.70633354317397,37.60857153683901,58.5,7.951697009178638e-10
3x3_ultra_n250,3x3,3,ultra,250,alternative,20,6.919136426196109e-07,0.4444444444444444,0.6111111111111112,0.2222222222222222,0.4444444444444444,1.0,19.813541555777192,41.134057613089695,59.0,3.1732988597932277e-09
3x3_ultra_n250,3x3,3,ultra,250,equal_mi_null,20,0.00033916157848470116,0.3333333333333333,0.6666666666666666,0.2,0.3111111111111111,1.0,17.61187450028956,22.90058797225357,37.5,5.74052422958049e-09
3x3_ultra_n500,3x3,3,ultra,500,alternative,20,1.3838272852392218e-06,0.2777777777777778,0.5555555555555556,0.1,0.38333333333333336,1.0,26.948583428747952,49.1903291316703,74.0,1.8237573881640934e-09
3x3_ultra_n500,3x3,3,ultra,500,equal_mi_null,20,0.0006783231569694023,0.16666666666666666,0.5555555555555556,0.1,0.23333333333333334,1.0,19.483478972688317,22.835021163336936,55.5,1.827992479608298e-10
3x3_ultra_n1000,3x3,3,ultra,1000,alternative,20,2.7676545704784435e-06,0.16666666666666666,0.4444444444444444,0.027777777777777776,0.31666666666666665,1.0,22.653437568806112,38.98015860468149,45.0,3.222262734414727e-11
3x3_ultra_n1000,3x3,3,ultra,1000,equal_mi_null,20,0.0013566463139388046,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.21666666666666667,1.0,20.24099964182824,23.39989156462253,42.0,9.294517933078339e-11
4x4_balanced_n25,4x4,4,balanced,25,alternative,15,0.473277150891913,0.125,1.0,0.20833333333333334,0.23333333333333334,1.0,33.7892088573426,68.441875372082,82.0,3.299803236211929e-09
4x4_balanced_n25,4x4,4,balanced,25,equal_mi_null,15,0.7465046752496537,0.125,1.0,0.225,0.24166666666666667,1.0,18.9862500410527,34.07682478427887,53.0,2.5483570254003496e-09
4x4_balanced_n50,4x4,4,balanced,50,alternative,15,0.946554301783826,0.0625,0.9375,0.075,0.10833333333333334,1.0,16.91562496125698,29.16783383116126,46.0,1.2183875852667114e-09
4x4_balanced_n50,4x4,4,balanced,50,equal_mi_null,15,1.4930093504993074,0.0,1.0,0.0875,0.07916666666666666,1.0,17.36254198476672,22.516200225800276,46.0,3.0051295896171837e-09
4x4_balanced_n75,4x4,4,balanced,75,alternative,15,1.419831452675739,0.0,0.5,0.025,0.025,1.0,22.436582949012518,33.61484226770699,43.0,4.5792818564871496e-09
4x4_balanced_n75,4x4,4,balanced,75,equal_mi_null,15,2.239514025748961,0.0,0.5,0.0125,0.025,1.0,15.637540956959128,20.632992079481483,33.0,3.0170622944414305e-09
4x4_balanced_n100,4x4,4,balanced,100,alternative,15,1.893108603567652,0.0,0.375,0.008333333333333333,0.020833333333333332,1.0,20.123541820794344,31.27213348634541,40.0,8.600496176347505e-09
4x4_balanced_n100,4x4,4,balanced,100,equal_mi_null,15,2.9860187009986148,0.0,0.375,0.0125,0.004166666666666667,1.0,15.907417051494122,20.723117282614112,35.0,7.340639374131541e-09
4x4_balanced_n150,4x4,4,balanced,150,alternative,15,2.839662905351478,0.0,0.125,0.0,0.0,1.0,24.40208406187594,32.44569129310548,37.0,8.171168491832859e-09
4x4_balanced_n150,4x4,4,balanced,150,equal_mi_null,15,4.479028051497922,0.0,0.125,0.0,0.0,1.0,22.95295801013708,27.317474968731403,36.0,4.170283840476685e-09
4x4_balanced_n250,4x4,4,balanced,250,alternative,15,4.7327715089191305,0.0,0.0625,0.0,0.0,1.0,23.51391618140042,27.101016603410244,41.0,1.386239734113559e-10
