method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
expanded_welch,Expanded Welch,500,1.0,0.2012694874015142,sparse_np100_nq200,PCAL_PCAL_sparse_np100_nq200_sparse_np100_nq200,sparse,100,200,500
normal_wald,Normal Wald,500,1.0,0.03316615354600974,sparse_np100_nq500,PCAL_PCAL_sparse_np100_nq500_sparse_np100_nq500,sparse,100,500,500
simple_welch,Simple Welch,500,1.0,0.03364397406960974,sparse_np100_nq500,PCAL_PCAL_sparse_np100_nq500_sparse_np100_nq500,sparse,100,500,500
expanded_welch,Expanded Welch,500,1.0,0.10868307451293197,sparse_np100_nq500,PCAL_PCAL_sparse_np100_nq500_sparse_np100_nq500,sparse,100,500,500
normal_wald,Normal Wald,500,1.0,0.0049943127113964364,sparse_np100_nq1000,PCAL_PCAL_sparse_np100_nq1000_sparse_np100_nq1000,sparse,100,1000,500
simple_welch,Simple Welch,500,1.0,0.005101706105269713,sparse_np100_nq1000,PCAL_PCAL_sparse_np100_nq1000_sparse_np100_nq1000,sparse,100,1000,500
expanded_welch,Expanded Welch,500,1.0,0.0876724106234445,sparse_np100_nq1000,PCAL_PCAL_sparse_np100_nq1000_sparse_np100_nq1000,sparse,100,1000,500
normal_wald,Normal Wald,48,0.096,0.11886692465464027,extreme_rare_np10_nq10,PCAL_PCAL_extreme_rare_np10_nq10_extreme_rare_np10_nq10,extreme_rare,10,10,500
simple_welch,Simple Welch,48,0.096,0.1532976346969361,extreme_rare_np10_nq10,PCAL_PCAL_extreme_rare_np10_nq10_extreme_rare_np10_nq10,extreme_rare,10,10,500
expanded_welch,Expanded Welch,2,0.004,0.3789161022085642,extreme_rare_np10_nq10,PCAL_PCAL_extreme_rare_np10_nq10_extreme_rare_np10_nq10,extreme_rare,10,10,500
normal_wald,Normal Wald,131,0.262,0.16653080626642458,extreme_rare_np20_nq20,PCAL_PCAL_extreme_rare_np20_nq20_extreme_rare_np20_nq20,extreme_rare,20,20,500
simple_welch,Simple Welch,131,0.262,0.18257136228965432,extreme_rare_np20_nq20,PCAL_PCAL_extreme_rare_np20_nq20_extreme_rare_np20_nq20,extreme_rare,20,20,500
expanded_welch,Expanded Welch,10,0.02,0.25194155692844356,extreme_rare_np20_nq20,PCAL_PCAL_extreme_rare_np20_nq20_extreme_rare_np20_nq20,extreme_rare,20,20,500
normal_wald,Normal Wald,204,0.408,0.1854050113796225,extreme_rare_np30_nq30,PCAL_PCAL_extreme_rare_np30_nq30_extreme_rare_np30_nq30,extreme_rare,30,30,500
simple_welch,Simple Welch,204,0.408,0.1957480201707054,extreme_rare_np30_nq30,PCAL_PCAL_extreme_rare_np30_nq30_extreme_rare_np30_nq30,extreme_rare,30,30,500
expanded_welch,Expanded Welch,22,0.044,0.20660040583756809,extreme_rare_np30_nq30,PCAL_PCAL_extreme_rare_np30_nq30_extreme_rare_np30_nq30,extreme_rare,30,30,500
normal_wald,Normal Wald,302,0.604,0.26128866673200635,extreme_rare_np50_nq50,PCAL_PCAL_extreme_rare_np50_nq50_extreme_rare_np50_nq50,extreme_rare,50,50,500
simple_welch,Simple Welch,302,0.604,0.2667624459577225,extreme_rare_np50_nq50,PCAL_PCAL_extreme_rare_np50_nq50_extreme_rare_np50_nq50,extreme_rare,50,50,500
