configuration_id,shape,alphabet_size,regime,sample_size,stage,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,mean_observed_zero_cell_fraction_p,mean_observed_zero_cell_fraction_q,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
4x4_balanced_n50,4x4,4,balanced,50,equal_mi_null,750,1.4930093504993074,0.0,1.0,0.065,0.06258333333333334,1.0,26.67191647924483,44.6042170515284,45.0,8.127152645309721e-09
4x4_balanced_n75,4x4,4,balanced,75,alternative,750,1.419831452675739,0.0,0.5,0.023,0.044333333333333336,1.0,28.640791540965438,44.21709168236703,43.0,9.995600375178881e-09
4x4_balanced_n75,4x4,4,balanced,75,equal_mi_null,750,2.239514025748961,0.0,0.5,0.021333333333333333,0.023666666666666666,1.0,25.119562400504947,37.194400653243065,36.0,9.98732385681933e-09
4x4_balanced_n100,4x4,4,balanced,100,alternative,750,1.893108603567652,0.0,0.375,0.007333333333333333,0.023,1.0,28.31683401018381,42.27806611452252,37.0,9.997901839753354e-09
4x4_balanced_n100,4x4,4,balanced,100,equal_mi_null,750,2.9860187009986148,0.0,0.375,0.00775,0.00775,1.0,24.603937403298914,36.47299150470645,34.0,9.984253673822607e-09
4x4_balanced_n150,4x4,4,balanced,150,alternative,750,2.839662905351478,0.0,0.125,0.0015,0.007416666666666667,1.0,31.576478970237076,43.42717565596104,38.0,9.943707218740272e-09
4x4_balanced_n150,4x4,4,balanced,150,equal_mi_null,750,4.479028051497922,0.0,0.125,0.00175,0.0010833333333333333,1.0,26.23812493402511,35.28766296803951,36.0,9.931637935667315e-09
4x4_balanced_n250,4x4,4,balanced,250,alternative,750,4.7327715089191305,0.0,0.0625,8.333333333333333e-05,0.0008333333333333334,1.0,33.751041861251,43.50450362544507,40.0,9.797465658212268e-09
4x4_balanced_n250,4x4,4,balanced,250,equal_mi_null,750,7.465046752496537,0.0,0.0,8.333333333333333e-05,0.0,1.0,28.080500080250204,36.80508288089186,39.0,9.926037755625394e-09
4x4_balanced_n500,4x4,4,balanced,500,alternative,750,9.465543017838261,0.0,0.0,0.0,0.0,1.0,36.533250007778406,45.62315826769918,42.0,9.578153270517475e-09
4x4_balanced_n500,4x4,4,balanced,500,equal_mi_null,750,14.930093504993074,0.0,0.0,0.0,0.0,1.0,34.61716650053859,45.43983708135784,42.0,9.834154789112315e-09
