scenario_id,regime,regime_label,rows,columns,n_p,n_q,target_mi,method,replicates,valid_replicates,valid_rate,fpr_05,fpr_05_low,fpr_05_high,absolute_fpr_error_05,median_runtime_ms,p95_runtime_ms
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,2,5,121,121,0.1,expanded_welch,250,250,1.0,0.084,0.05559603876664467,0.12499486641356522,0.034,0.18229195848107338,0.1957855885848403
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,2,5,121,121,0.1,constrained_lr,250,250,1.0,0.08,0.05238232837233178,0.12032964320384168,0.03,14.478708035312593,23.28687513945623
stress_2x5_d6,ultra_sparse,Ultra-skewed and sparse,2,5,121,121,0.1,student_permutation,250,250,1.0,0.112,0.07863430779240638,0.15710913261605863,0.062,0.6846460746601224,0.7159045548178256
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,2,5,69,690,0.15,normal_wald,250,250,1.0,0.084,0.05559603876664467,0.12499486641356522,0.034,0.18170801922678947,0.19125420367345214
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,2,5,69,690,0.15,expanded_welch,250,250,1.0,0.064,0.03977474527709589,0.1014214918829318,0.013999999999999999,0.18170801922678947,0.19125420367345214
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,2,5,69,690,0.15,constrained_lr,250,250,1.0,0.076,0.04919164066173635,0.11564139731040068,0.025999999999999995,14.569479040801525,18.74925210140645
stress_2x5_d7,ultra_sparse,Ultra-skewed and sparse,2,5,69,690,0.15,student_permutation,250,250,1.0,0.04,0.021869911954542545,0.07205272358126646,0.010000000000000002,0.7133539766073227,0.7434767787344753
adversarial_2x5_d8,widespread_sparse,Widespread sparsity,2,5,50,50,0.1,normal_wald,250,250,1.0,0.104,0.07196523249243103,0.14802034070796108,0.05399999999999999,0.18199998885393143,0.19258358515799046
adversarial_2x5_d8,widespread_sparse,Widespread sparsity,2,5,50,50,0.1,expanded_welch,250,250,1.0,0.084,0.05559603876664467,0.12499486641356522,0.034,0.18199998885393143,0.19258358515799046
adversarial_2x5_d8,widespread_sparse,Widespread sparsity,2,5,50,50,0.1,constrained_lr,250,250,1.0,0.08,0.05238232837233178,0.12032964320384168,0.03,13.254312565550208,34.99442699830978
adversarial_2x5_d8,widespread_sparse,Widespread sparsity,2,5,50,50,0.1,student_permutation,250,250,1.0,0.092,0.06208701511330673,0.13426175727497605,0.041999999999999996,0.708833453245461,0.7494187098927795
adversarial_2x5_d9,widespread_sparse,Widespread sparsity,2,5,50,100,0.15,normal_wald,250,250,1.0,0.04,0.021869911954542545,0.07205272358126646,0.010000000000000002,0.18231244757771492,0.1956457970663905
adversarial_2x5_d9,widespread_sparse,Widespread sparsity,2,5,50,100,0.15,expanded_welch,250,250,1.0,0.04,0.021869911954542545,0.07205272358126646,0.010000000000000002,0.18231244757771492,0.1956457970663905
adversarial_2x5_d9,widespread_sparse,Widespread sparsity,2,5,50,100,0.15,constrained_lr,250,250,1.0,0.02,0.008572324384058201,0.045955643131568594,0.030000000000000002,12.09764601662755,57.22212522523477
adversarial_2x5_d9,widespread_sparse,Widespread sparsity,2,5,50,100,0.15,student_permutation,250,250,1.0,0.024,0.011044777306136764,0.051362123813526464,0.026000000000000002,0.7180001121014357,0.7560790283605455
strong_null_3x3_d-2,strong_null,Strong null (P = Q),3,3,200,200,0.1,normal_wald,200,200,1.0,0.04,0.020405632066152302,0.07693206820093294,0.010000000000000002,0.18070789519697428,0.18978328444063663
strong_null_3x3_d-2,strong_null,Strong null (P = Q),3,3,200,200,0.1,expanded_welch,200,200,1.0,0.035,0.0170555420085672,0.07047061152229074,0.015,0.18070789519697428,0.18978328444063663
strong_null_3x3_d-2,strong_null,Strong null (P = Q),3,3,200,200,0.1,constrained_lr,200,200,1.0,0.04,0.020405632066152302,0.07693206820093294,0.010000000000000002,8.603999973274767,9.04632315505296
strong_null_3x3_d-2,strong_null,Strong null (P = Q),3,3,200,200,0.1,student_permutation,200,200,1.0,0.03,0.013820314340111339,0.06389429245451923,0.020000000000000004,0.6736660143360496,0.6979251513257622
strong_null_3x3_d-1,strong_null,Strong null (P = Q),3,3,100,200,0.15,normal_wald,200,200,1.0,0.095,0.06166310271738653,0.1436016116481994,0.045,0.18110440578311682,0.19487756071612236
strong_null_3x3_d-1,strong_null,Strong null (P = Q),3,3,100,200,0.15,expanded_welch,200,200,1.0,0.085,0.053745750177475606,0.13189587071565567,0.035,0.18110440578311682,0.19487756071612236
strong_null_3x3_d-1,strong_null,Strong null (P = Q),3,3,100,200,0.15,constrained_lr,200,200,1.0,0.075,0.045974917184382014,0.12004361023629459,0.024999999999999994,8.303583017550409,9.540285868570207
strong_null_3x3_d-1,strong_null,Strong null (P = Q),3,3,100,200,0.15,student_permutation,200,200,1.0,0.065,0.03837635464915297,0.10801907929906894,0.015,0.6775620859116316,0.7094429922290146
fixed_3x3_d0,well_sampled,Well sampled,3,3,200,200,0.1,normal_wald,200,200,1.0,0.05,0.02738264560076392,0.08957814813877599,0.0,0.17991592176258564,0.19061033381149167
