configuration_id,shape_index,design_index,rows,columns,condition,condition_label,margin_profile,dominant_margin_mass,target_mi,n_p,n_q,population_pairs,replicates_per_population,method,method_label,mean_valid_rate,mean_coverage_95,median_effective_df,mean_fpr_10,population_sd_fpr_10,population_se_fpr_10,mean_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,mean_fpr_05,population_sd_fpr_05,population_se_fpr_05,mean_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,mean_fpr_01,population_sd_fpr_01,population_se_fpr_01,mean_absolute_fpr_error_01,minimum_fpr_01,maximum_fpr_01
5x5_ultra_imbalanced,2,3,5,5,ultra_imbalanced,Ultra-sparsity with imbalance,dominant_0.90,0.9,0.1,75,375,10,5000,simple_welch,Simple Welch,1.0,0.8281199999999999,100.84834570753468,0.23201999999999998,0.03479737537995263,0.011003896279651737,0.13201999999999997,0.1872,0.2864,0.17188,0.029619543097984022,0.009366521944314938,0.12188000000000002,0.1338,0.2186,0.09504000000000001,0.0174559254504977,0.005520048308967352,0.08504,0.0726,0.1226
8x8_balanced_control,3,0,8,8,balanced_control,Balanced control,uniform,0.125,0.1,960,960,10,5000,expanded_welch,Expanded Welch,1.0,0.95326,348.15627778118994,0.09469999999999998,0.0033589019369761625,0.0010621780557996015,0.005300000000000008,0.0902,0.0986,0.04674,0.003163753045566821,0.001000466557828563,0.003700000000000002,0.04,0.0522,0.00888,0.0012865112168617542,0.0004068305680637962,0.0014000000000000002,0.0068,0.0108
8x8_balanced_control,3,0,8,8,balanced_control,Balanced control,uniform,0.125,0.1,960,960,10,5000,normal_wald,Normal Wald,1.0,0.95244,,0.09562000000000001,0.003572052009077635,0.0011295820269265782,0.0043800000000000045,0.0906,0.0994,0.04756,0.0031969429842342266,0.0010109621379875925,0.003080000000000002,0.0412,0.0532,0.00934,0.0013664227424597087,0.00043210081128263475,0.0012200000000000002,0.0072,0.0114
8x8_balanced_control,3,0,8,8,balanced_control,Balanced control,uniform,0.125,0.1,960,960,10,5000,simple_welch,Simple Welch,1.0,0.9526,1913.2240294957896,0.09554000000000001,0.003571554283501794,0.0011294246322796405,0.004460000000000004,0.0906,0.0994,0.047400000000000005,0.003237282811247728,0.0010237187113655778,0.0032400000000000024,0.041,0.0532,0.00928,0.0013439576712911097,0.0004249967320135794,0.0012400000000000002,0.0072,0.0114
8x8_moderate_sparse,3,1,8,8,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,512,512,10,5000,expanded_welch,Expanded Welch,1.0,0.9652999999999998,148.0482729977664,0.07848,0.003877226958650845,0.0012260868194744156,0.021520000000000004,0.0688,0.0836,0.034699999999999995,0.0027780888714686166,0.000878508837620759,0.015300000000000003,0.0302,0.0394,0.005679999999999999,0.0008066391179868893,0.00025508168626278655,0.00432,0.0046,0.0076
8x8_moderate_sparse,3,1,8,8,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,512,512,10,5000,normal_wald,Normal Wald,1.0,0.9636800000000001,,0.08049999999999999,0.003914928692411481,0.001238009154516503,0.019500000000000007,0.0712,0.0858,0.036320000000000005,0.0029472397632738026,0.0009319990462560688,0.013680000000000001,0.0316,0.041,0.006320000000000001,0.0006679986693266852,0.00021123972690339807,0.00368,0.0054,0.0078
8x8_moderate_sparse,3,1,8,8,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,512,512,10,5000,simple_welch,Simple Welch,1.0,0.9639599999999999,1017.280947592794,0.08012,0.0038461524786322387,0.0012162602060779967,0.019880000000000002,0.071,0.0854,0.03604,0.002790141374355229,0.0008823201736835039,0.013960000000000004,0.0316,0.0408,0.00618,0.0006696599468718763,0.00021176506899024783,0.0038199999999999996,0.0054,0.0078
8x8_ultra_sparse,3,2,8,8,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,192,192,10,5000,expanded_welch,Expanded Welch,1.0,0.96266,61.7116391276503,0.08015999999999998,0.005559216571504379,0.0017579786372106147,0.019840000000000007,0.0688,0.0902,0.03734,0.0029605555034298687,0.0009362098530184823,0.01266,0.0328,0.0414,0.006459999999999999,0.0010956479564369407,0.0003464743056049675,0.00354,0.0044,0.008
8x8_ultra_sparse,3,2,8,8,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,192,192,10,5000,normal_wald,Normal Wald,1.0,0.95888,,0.0851,0.005385783756025361,0.0017031343654176744,0.014900000000000007,0.0732,0.0928,0.041120000000000004,0.0032771261122446233,0.0010363182694305625,0.008880000000000002,0.0358,0.046,0.00806,0.001323463469671738,0.0004185158964191868,0.0019400000000000003,0.0056,0.0098
8x8_ultra_sparse,3,2,8,8,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,192,192,10,5000,simple_welch,Simple Welch,1.0,0.95942,377.79041439031096,0.0843,0.0055226805085936284,0.0017464249196572973,0.01570000000000001,0.0722,0.0924,0.040580000000000005,0.0031375149402034716,0.0009921693403849967,0.009420000000000003,0.0356,0.045,0.007580000000000001,0.001403012631605448,0.00044367155018599564,0.0024200000000000003,0.005,0.0094
