regime,regime_label,method,method_label,nominal_alpha,population_pairs,mean_rejection_rate,median_rejection_rate,p10_rejection_rate,p90_rejection_rate,minimum_rejection_rate,maximum_rejection_rate,mean_absolute_calibration_error
balanced_control,Balanced control,simple_welch,Simple Welch,0.003,40,0.00232,0.0023,0.00116,0.0036,0.0006,0.004,0.0009400000000000001
balanced_control,Balanced control,simple_welch,Simple Welch,0.004,40,0.0032199999999999998,0.0034,0.00176,0.0046,0.0008,0.0048,0.00101
balanced_control,Balanced control,simple_welch,Simple Welch,0.005,40,0.0040550000000000004,0.0042,0.00278,0.005240000000000001,0.0014,0.0062,0.0011550000000000002
balanced_control,Balanced control,simple_welch,Simple Welch,0.006,40,0.00487,0.0048,0.0033799999999999998,0.0064,0.002,0.0074,0.0013400000000000003
balanced_control,Balanced control,simple_welch,Simple Welch,0.007,40,0.005825,0.0058,0.0042,0.0074,0.003,0.0082,0.001355
balanced_control,Balanced control,simple_welch,Simple Welch,0.008,40,0.0068000000000000005,0.0068,0.00498,0.00842,0.0036,0.009,0.0014100000000000002
balanced_control,Balanced control,simple_welch,Simple Welch,0.009,40,0.007679999999999999,0.0077,0.00598,0.009420000000000001,0.004,0.01,0.0015499999999999997
balanced_control,Balanced control,simple_welch,Simple Welch,0.01,40,0.008624999999999999,0.0088,0.0066,0.0106,0.0044,0.0114,0.0016650000000000002
balanced_control,Balanced control,simple_welch,Simple Welch,0.011,40,0.009475,0.0095,0.0076,0.01162,0.0052,0.0134,0.0018449999999999994
balanced_control,Balanced control,simple_welch,Simple Welch,0.012,40,0.01052,0.0106,0.00876,0.012820000000000002,0.007,0.0142,0.00182
balanced_control,Balanced control,simple_welch,Simple Welch,0.013,40,0.01151,0.0115,0.009380000000000001,0.013420000000000001,0.0076,0.0156,0.0018399999999999996
balanced_control,Balanced control,simple_welch,Simple Welch,0.014,40,0.01239,0.0125,0.00978,0.014240000000000001,0.0088,0.0162,0.0019200000000000003
balanced_control,Balanced control,simple_welch,Simple Welch,0.015,40,0.013335,0.0133,0.01058,0.015300000000000001,0.0094,0.0172,0.0020049999999999994
balanced_control,Balanced control,simple_welch,Simple Welch,0.016,40,0.01433,0.0143,0.01176,0.01628,0.0096,0.0178,0.00199
balanced_control,Balanced control,simple_welch,Simple Welch,0.017,40,0.015285000000000002,0.0154,0.01314,0.0176,0.0104,0.0192,0.0020250000000000008
balanced_control,Balanced control,simple_welch,Simple Welch,0.018,40,0.01619,0.0162,0.01376,0.01882,0.0116,0.0198,0.002149999999999999
balanced_control,Balanced control,simple_welch,Simple Welch,0.019,40,0.017249999999999998,0.0174,0.01496,0.01946,0.0128,0.0206,0.00207
balanced_control,Balanced control,simple_welch,Simple Welch,0.02,40,0.018205,0.0185,0.01558,0.021040000000000003,0.013,0.022,0.0022550000000000005
balanced_control,Balanced control,simple_welch,Simple Welch,0.021,40,0.019125,0.019299999999999998,0.0166,0.022019999999999998,0.0138,0.0234,0.0023450000000000007
balanced_control,Balanced control,simple_welch,Simple Welch,0.022,40,0.02012,0.0203,0.01738,0.02324,0.0144,0.0246,0.0024099999999999994
balanced_control,Balanced control,simple_welch,Simple Welch,0.023,40,0.021179999999999997,0.0213,0.0182,0.02462,0.015,0.0256,0.00243
balanced_control,Balanced control,simple_welch,Simple Welch,0.024,40,0.022105,0.0222,0.0192,0.025240000000000002,0.0156,0.027,0.002465
balanced_control,Balanced control,simple_welch,Simple Welch,0.025,40,0.02284,0.022699999999999998,0.02018,0.026019999999999998,0.0166,0.0284,0.002660000000000001
balanced_control,Balanced control,simple_welch,Simple Welch,0.026,40,0.02385,0.0239,0.02138,0.0266,0.0174,0.0294,0.0025199999999999992
balanced_control,Balanced control,simple_welch,Simple Welch,0.027,40,0.02479,0.0246,0.02196,0.0278,0.0182,0.0298,0.00261
balanced_control,Balanced control,simple_welch,Simple Welch,0.028,40,0.025755,0.0259,0.023,0.028640000000000002,0.019,0.031,0.0026450000000000006
balanced_control,Balanced control,simple_welch,Simple Welch,0.029,40,0.026775,0.0267,0.023960000000000002,0.02982,0.0198,0.0312,0.002585000000000001
balanced_control,Balanced control,simple_welch,Simple Welch,0.03,40,0.02778,0.0279,0.02494,0.03104,0.0204,0.0326,0.0027499999999999994
balanced_control,Balanced control,simple_welch,Simple Welch,0.031,40,0.028725,0.0284,0.0263,0.03204,0.0208,0.0334,0.002775
balanced_control,Balanced control,simple_welch,Simple Welch,0.032,40,0.02973,0.029,0.0272,0.032639999999999995,0.0226,0.0342,0.00269
balanced_control,Balanced control,simple_welch,Simple Welch,0.033,40,0.03061,0.0296,0.027960000000000002,0.0338,0.0238,0.035,0.0028200000000000005
balanced_control,Balanced control,simple_welch,Simple Welch,0.034,40,0.031595,0.031,0.02858,0.0348,0.0246,0.0358,0.0028150000000000007
balanced_control,Balanced control,simple_welch,Simple Welch,0.035,40,0.03261,0.0319,0.02938,0.03582,0.0252,0.0368,0.0028400000000000014
