scenario_id,configuration_id,population_replication,shape_index,design_index,rows,columns,n_p,n_q,target_mi,regime,regime_label,margin_profile,method,method_label,valid_replicates,valid_rate,nominal_alpha,rejections,rejection_rate,rejection_rate_low,rejection_rate_high,absolute_calibration_error
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.055,297,0.0594,0.05318026355064124,0.0662962354033431,0.004400000000000001
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.056,302,0.0604,0.054128216165158255,0.06734674738493598,0.004400000000000001
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.057,308,0.0616,0.05526643146986404,0.06860668959556206,0.0046
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.058,313,0.0626,0.05621549083520565,0.06965609482633033,0.0046
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.059,318,0.0636,0.05716503532950287,0.07070501492814299,0.004600000000000007
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.06,327,0.0654,0.05887540435260451,0.07259188217803915,0.005400000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.061,333,0.0666,0.06001647553764848,0.07384896850832705,0.005600000000000008
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.062,339,0.0678,0.06115818761215925,0.07510541394914813,0.0058
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.063,346,0.0692,0.06249097415276718,0.07657047784309402,0.006199999999999997
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.064,355,0.071,0.06420576917848876,0.07845291909037024,0.006999999999999992
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.065,360,0.072,0.0651590063175528,0.07949814654741609,0.006999999999999992
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.066,363,0.0726,0.06573114085701513,0.0801250907656197,0.006599999999999995
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.067,367,0.0734,0.06649420780762573,0.08096079549189701,0.006400000000000003
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.068,371,0.0742,0.06725752374600619,0.08179625123040446,0.006199999999999997
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.069,376,0.0752,0.06821201319858257,0.08284022637393797,0.006199999999999997
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.07,382,0.0764,0.06935789665313093,0.08409250043472145,0.006399999999999989
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.071,390,0.078,0.07088656410142662,0.0857613763402016,0.007000000000000006
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.072,393,0.0786,0.07146005199381392,0.08638696720548023,0.006600000000000009
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.073,395,0.079,0.07184244816595686,0.08680395687178125,0.006000000000000005
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.074,399,0.0798,0.07260740893366444,0.08763776778096158,0.0058
