k,shape,nu0,entropy,N,lam_min,lam_tp,mu,sigma2,nu,a
6,uniform,25,2.584962500721156,18,0.5,0.013888888888888888,24.553354143880288,22.12309156388761,54.50117113820449,0.45051057860055344
6,uniform,25,2.584962500721156,22,0.611111111111111,0.016975308641975308,26.77318744763071,25.121624555907538,57.06665701581063,0.46915640143793697
6,uniform,25,2.584962500721156,27,0.75,0.020833333333333332,28.645627937635417,29.46027634635366,55.70701308394224,0.5142194196352026
6,uniform,25,2.584962500721156,34,0.9444444444444444,0.026234567901234566,30.064382790164235,35.63651154634692,50.727025364309455,0.5926699343052145
6,uniform,25,2.584962500721156,42,1.1666666666666665,0.032407407407407406,30.226654322845036,42.2120993824722,43.28856630770386,0.6982595382805677
6,uniform,25,2.584962500721156,51,1.4166666666666665,0.03935185185185185,30.424225728107253,48.37815891898632,38.26658689946766,0.7950598209355978
6,uniform,25,2.584962500721156,63,1.75,0.04861111111111111,30.083676892543405,53.68949924256757,33.7133937974002,0.8923360570973814
6,uniform,25,2.584962500721156,78,2.1666666666666665,0.06018518518518518,29.84452490447061,60.95426438550292,29.225048509826834,1.0211967618953814
6,uniform,25,2.584962500721156,96,2.6666666666666665,0.07407407407407407,28.662170092906788,62.78938062888384,26.16748202344304,1.0953354268946778
6,uniform,25,2.584962500721156,118,3.2777777777777777,0.09104938271604938,28.102097986708362,60.82761136768031,25.966099720107252,1.0822610361057448
6,uniform,25,2.584962500721156,146,4.055555555555555,0.11265432098765432,27.128282342422406,58.48591252622789,25.1665288635158,1.0779508961901607
6,uniform,25,2.584962500721156,180,5.0,0.1388888888888889,26.57807800541409,59.44672382903819,23.76562356887431,1.1183412851924168
6,uniform,25,2.584962500721156,327,9.083333333333332,0.2523148148148148,25.68687232421976,52.25931772084686,25.251589135751725,1.0172378532744204
6,uniform,25,2.584962500721156,594,16.5,0.4583333333333333,25.456285548696698,51.94336523815963,24.95111631545665,1.0202463579926924
6,uniform,25,2.584962500721156,1080,30.0,0.8333333333333334,25.302380796296042,51.28203226329613,24.968217744326246,1.0133835364378674
6,mild_skew,25,2.5422509372837157,14,0.09722222222222221,0.009077074759945127,20.578435436922128,20.95511745275878,40.41704905603586,0.5091523482674685
6,mild_skew,25,2.5422509372837157,25,0.1736111111111111,0.016209062071330584,26.501643033601393,28.484979335069518,49.31280273851175,0.5374191196174791
6,mild_skew,25,2.5422509372837157,42,0.29166666666666663,0.027231224279835382,29.533051879527058,41.077831177246004,42.46578401646335,0.6954552368108294
6,mild_skew,25,2.5422509372837157,72,0.5,0.046682098765432084,29.223503047560833,54.741090780898354,31.201904024492006,0.9365935817449402
6,mild_skew,25,2.5422509372837157,89,0.6180555555555555,0.05770426097393688,28.918090314530545,55.28128180818033,30.254578768309205,0.9558252499889837
6,mild_skew,25,2.5422509372837157,109,0.7569444444444444,0.07067151063100136,28.18188846198419,57.3112049430471,27.71600555503836,1.0168091648712034
6,mild_skew,25,2.5422509372837157,135,0.9375,0.08752893518518516,27.878173714615755,59.07298418214259,26.312961175820654,1.0594844695865473
