configuration_id,pair_id,shape,rows,columns,profile,dominant_p,dominant_q,constructor,pattern,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,signed_mi_difference_q_minus_p,absolute_mi_difference,n_p,n_q,replicates,simulation_seed
config_61d62f3f6861cba7,pair_6f50bd3d8c0e1655,3x3,3,3,uniform,,,additive,first,0.001,0.021,0.001000000000000027,0.021000000000000067,0.02000000000000004,0.02000000000000004,1000,1000,200,692808503752580269
config_621be532862cd442,pair_57c0709ba92e2e9a,8x8,8,8,uniform,,,additive,first,0.02,0.02,0.019999999999999997,0.019999999999999997,0.0,0.0,1000,1000,200,14340758709147721051
config_62b3a57c937f2cd9,pair_0b60debe118a6b51,5x5,5,5,same_skew,,,additive,first,0.0001,0.0001,0.00010000000000007877,0.00010000000000007877,0.0,0.0,50000,50000,200,5524581499737772193
config_63053a412959e312,pair_5b37ff86eea397f4,8x8,8,8,uniform,,,additive,first,0.02,0.04,0.019999999999999997,0.04000000000000001,0.02000000000000001,0.02000000000000001,500,500,200,3878145508493656697
config_6311cb9cd2a37419,pair_de9ba37b68c66590,8x8,8,8,same_skew,,,additive,first,0.0001,0.0201,0.00010000000000011325,0.020099999999999982,0.01999999999999987,0.01999999999999987,1000,1000,200,5119299385196151482
config_63890e4ca9b08dec,pair_52b1696d2979c524,3x3,3,3,uniform,,,loglinear,first,0.02,0.04,0.01999999999999974,0.03999999999999966,0.01999999999999992,0.01999999999999992,20,20,200,10991281907971091268
config_640db999fa00708b,pair_9135fa4edca7b321,3x3,3,3,same_skew,,,additive,first,0.04,0.02,0.040000000000000036,0.019999999999999858,-0.020000000000000177,0.020000000000000177,50,50,200,10339484471681036566
config_64bc9d1982186299,pair_3a8678995c8da6f3,5x5,5,5,uniform,,,loglinear,first,0.02,0.04,0.02000000000000002,0.039999999999999425,0.019999999999999404,0.019999999999999404,1000,1000,200,7247171621457803329
config_64ca781f129b9670,pair_ce3104319adf7c92,5x5,5,5,same_skew,,,additive,first,0.001,0.001,0.0010000000000000503,0.0010000000000000503,0.0,0.0,1000,1000,200,6236074738079783993
config_64cedfb578d1ba54,pair_981b51d086cfa0d9,3x3,3,3,same_skew,,,additive,first,0.001,0.021,0.0009999999999998205,0.020999999999999974,0.020000000000000153,0.020000000000000153,1000,1000,200,5961630159982736663
config_65097c528c492add,pair_915fd4445dd7693e,3x3,3,3,uniform,,,additive,first,0.02,0.02,0.01999999999999999,0.01999999999999999,0.0,0.0,20,20,200,5512018495226555330
config_65af9f86997623ed,pair_3add47497020f85f,3x3,3,3,same_skew,,,additive,first,0.001,0.001,0.0009999999999998205,0.0009999999999998205,0.0,0.0,20,20,200,13931582884309777266
config_65c3777d9067f14d,pair_7ce1d258fd1cfc5a,5x5,5,5,same_skew,,,additive,first,0.02,0.04,0.019999999999999872,0.03999999999999988,0.02000000000000001,0.02000000000000001,50,50,200,13964851786583315789
config_6616c3e00bd7df1a,pair_a853b0fbd5956507,3x5,3,5,uniform,,,additive,first,0.02,0.04,0.019999999999999997,0.039999999999999994,0.019999999999999997,0.019999999999999997,20,20,200,368155159812563475
config_662b812234fc0a5f,pair_b02a3d46d9460b5c,8x8,8,8,different_skew,,,additive,first,0.02,0.04,0.020000000000000108,0.03999999999999959,0.019999999999999483,0.019999999999999483,2,2,200,11659739767737013800
config_66a5ffeeb7d78344,pair_8530c1b9f8c78768,5x5,5,5,different_skew,,,additive,first,0.02,0.02,0.019999999999999993,0.019999999999999872,-1.214306433183765e-16,1.214306433183765e-16,1000,1000,200,264929312660745985
config_673b8fe22ba5b288,pair_a72726f85edc470d,8x8,8,8,uniform,,,additive,first,0.001,0.021,0.0010000000000000009,0.020999999999999998,0.019999999999999997,0.019999999999999997,1000,1000,200,5447122927995929225
config_6764faba76c52a5c,pair_57c0709ba92e2e9a,8x8,8,8,uniform,,,additive,first,0.02,0.02,0.019999999999999997,0.019999999999999997,0.0,0.0,500,500,200,2129845232567960174
config_68664fbc4f3b1772,pair_fb6e4c79f03f599b,3x3,3,3,different_skew,,,additive,first,0.02,0.02,0.01999999999999983,0.019999999999999858,2.7755575615628914e-17,2.7755575615628914e-17,500,500,200,16701763964601464006
config_68c737fa916b24a8,pair_9444938a7041d7e8,5x5,5,5,different_skew,,,additive,first,0.02,0.04,0.019999999999999993,0.03999999999999988,0.01999999999999989,0.01999999999999989,20,20,200,8032508629296428698
config_69093b7a1a01a0af,pair_41722fa5e7e85a85,2x2,2,2,different_skew,,,additive,first,0.04,0.02,0.040000000000000105,0.01999999999999995,-0.020000000000000157,0.020000000000000157,50,50,200,3531604785393521050
config_69f90648310fbab3,pair_6271495019b80969,8x8,8,8,same_skew,,,additive,first,0.02,0.02,0.019999999999999997,0.019999999999999997,0.0,0.0,50,50,200,12077083578631706800
config_6a71e68009d0772a,pair_e3af9cee70530be8,3x3,3,3,same_skew,,,additive,first,0.02,0.04,0.019999999999999858,0.040000000000000036,0.020000000000000177,0.020000000000000177,50,50,200,10117312885136601438
config_6c04d0b80ae7c839,pair_04c288e974286575,2x2,2,2,uniform,,,additive,first,0.001,0.001,0.0009999999999999593,0.0009999999999999593,0.0,0.0,1000,1000,200,12771536069656206219
config_6c586b6f37a8c08c,pair_fbfd5ca0a36de921,2x2,2,2,same_skew,,,additive,first,0.0001,0.0201,9.999999999997034e-05,0.020099999999999917,0.019999999999999945,0.019999999999999945,20,20,200,6103829814172501016
config_6c9b509fd06a51a7,pair_fbd64f5a55f6dd71,3x3,3,3,uniform,,,additive,first,0.0001,0.0001,0.0001000000000000497,0.0001000000000000497,0.0,0.0,20,20,200,16952314045581388760
config_6e46886bb3b9cc73,pair_4a4e8313c00982bf,3x3,3,3,different_skew,,,additive,first,0.02,0.04,0.01999999999999983,0.040000000000000036,0.020000000000000205,0.020000000000000205,2,2,200,10954068585901462653
config_6e700d1ed4e31527,pair_59641391e1eee31f,8x8,8,8,same_skew,,,additive,first,0.0001,0.0001,0.00010000000000011325,0.00010000000000011325,0.0,0.0,20,20,200,3738526323864210786
config_6eb68f166eee7730,pair_bdbd6bc8436be4be,5x5,5,5,different_skew,,,loglinear,first,0.0001,0.0001,9.999999999979871e-05,0.0001000000000001894,3.906922528551515e-16,3.906922528551515e-16,1000,1000,200,11937929910711187181
config_6f7293ef916f4565,pair_20cd5ee796efbb4b,3x3,3,3,same_skew,,,additive,first,0.02,0.22,0.019999999999999858,0.21999999999999986,0.2,0.2,20,20,200,2430154978269036354
config_700945d218841f2e,pair_0a0e0f72610302eb,2x2,2,2,uniform,,,additive,first,0.02,0.02,0.01999999999999985,0.01999999999999985,0.0,0.0,1000,1000,200,13746277232682003271
config_7021bd45df65bc67,pair_98bcff8d64c21c9d,8x8,8,8,same_skew,,,additive,first,0.0,0.0,7.63833440942107e-16,7.63833440942107e-16,0.0,0.0,2,2,200,11448771430262729541
config_70560da92a7644ad,pair_02f6cb63c11f31a4,2x3,2,3,same_skew,,,additive,first,0.02,0.04,0.019999999999999914,0.039999999999999994,0.02000000000000008,0.02000000000000008,20,20,200,18046223670889234651
config_70be6884a262cb1c,pair_489238afbcfc259d,5x5,5,5,uniform,,,additive,first,0.02,0.02,0.019999999999999993,0.019999999999999993,0.0,0.0,20,20,200,14437191980497506576
config_716387f00926f104,pair_ad832910536bb3a6,2x2,2,2,same_skew,,,additive,first,0.0001,0.0001,9.999999999997034e-05,9.999999999997034e-05,0.0,0.0,20,20,200,2322664027473579193
config_71b1c34f5bf7c80f,pair_a59d531ef70f539f,2x2,2,2,same_skew,,,additive,first,0.001,0.001,0.0010000000000000668,0.0010000000000000668,0.0,0.0,20,20,200,4609092308859840543
config_7216a26255b81d99,pair_57c0709ba92e2e9a,8x8,8,8,uniform,,,additive,first,0.02,0.02,0.019999999999999997,0.019999999999999997,0.0,0.0,50,50,200,16093117890300604602
config_72a8f9f23dcfa416,pair_f19c43ce73f8850a,3x3,3,3,same_skew,,,additive,first,0.0001,0.0201,0.00010000000000003344,0.020099999999999958,0.019999999999999924,0.019999999999999924,1000,1000,200,14248662392159845218
config_73591c15b379a22c,pair_3bc05e13f5f5fdd0,8x8,8,8,uniform,,,additive,first,0.0,0.02,0.0,0.019999999999999997,0.019999999999999997,0.019999999999999997,2,2,200,9947473668013113865
config_74c916611cd1cb38,pair_7ce1d258fd1cfc5a,5x5,5,5,same_skew,,,additive,first,0.02,0.04,0.019999999999999872,0.03999999999999988,0.02000000000000001,0.02000000000000001,2,2,200,10561053939669732465
config_755168891c29f0f1,pair_84b4c2fa979853ff,8x8,8,8,different_skew,,,additive,first,0.0001,0.0001,9.999999999998935e-05,0.00010000000000011325,1.2389720326078102e-16,1.2389720326078102e-16,50000,50000,200,18030527513522211695
config_757b5b80ae205f26,pair_1497be75b51022f5,5x5,5,5,uniform,,,additive,first,0.001,0.001,0.0009999999999999907,0.0009999999999999907,0.0,0.0,20,20,200,16628123902513665556
config_761ca2a55791cf76,pair_5fb4b798b2099807,8x8,8,8,custom_extreme,0.99,0.995,additive,first,1e-05,0.00021,1.0000000000052644e-05,0.0002100000000009362,0.00020000000000088355,0.00020000000000088355,10000,10000,200,354471757659106691
config_77748854d67db52d,pair_56cef8de2831de56,5x5,5,5,different_skew,,,loglinear,first,0.02,0.02,0.019999999999999817,0.019999999999999712,-1.0408340855860843e-16,1.0408340855860843e-16,1000,1000,200,6490377438515417458
config_77cd8de7eee8e331,pair_c27680a23093ebc0,5x5,5,5,different_skew,,,additive,first,0.001,0.001,0.0009999999999998953,0.0010000000000000503,1.5504091066542713e-16,1.5504091066542713e-16,1000,1000,200,15169757043538800285
config_78ef5ce6a6621dec,pair_3483599cf91e430f,8x8,8,8,different_skew,,,loglinear,first,0.02,0.04,0.019999999999999907,0.03999999999999998,0.020000000000000073,0.020000000000000073,20,20,200,12901495850333050407
config_793a99d979e3bfb2,pair_d7217457e76b4c17,5x5,5,5,different_skew,,,additive,first,0.04,0.02,0.03999999999999985,0.019999999999999872,-0.019999999999999976,0.019999999999999976,500,500,200,6039319521636162330
config_7a49d117bcd3c249,pair_995c0f49944b23b1,3x5,3,5,different_skew,,,additive,first,0.02,0.04,0.019999999999999813,0.03999999999999993,0.02000000000000012,0.02000000000000012,1000,1000,200,15847727919506741466
config_7b6532ec0ee16c86,pair_a863ca8a53310b0a,3x5,3,5,different_skew,,,additive,first,0.02,0.02,0.019999999999999813,0.01999999999999993,1.1796119636642288e-16,1.1796119636642288e-16,20,20,200,2582518058755885319
config_7b6d832c71f89046,pair_c16067d1a985436c,5x5,5,5,different_skew,,,additive,spread,0.0001,0.0001,9.999999999999083e-05,9.999999999997283e-05,-1.7997756063259374e-17,1.7997756063259374e-17,20,20,200,17351676420619368397
config_7bd6236dc28bb6ef,pair_6271495019b80969,8x8,8,8,same_skew,,,additive,first,0.02,0.02,0.019999999999999997,0.019999999999999997,0.0,0.0,2,2,200,12812378908767796760
config_7c2420f1e98f10d3,pair_fbfd5ca0a36de921,2x2,2,2,same_skew,,,additive,first,0.0001,0.0201,9.999999999997034e-05,0.020099999999999917,0.019999999999999945,0.019999999999999945,1000,1000,200,3493304153123940083
config_7c44065d427b0e26,pair_b02a3d46d9460b5c,8x8,8,8,different_skew,,,additive,first,0.02,0.04,0.020000000000000108,0.03999999999999959,0.019999999999999483,0.019999999999999483,20,20,200,4864478790670509374
config_7e4c34a86fd1ec69,pair_256ab9b3d2111c19,8x8,8,8,custom_extreme,0.9,0.95,additive,first,1e-05,1e-05,9.99999999977034e-06,9.999999999955183e-06,1.8484291788162244e-16,1.8484291788162244e-16,10000,10000,200,5480958636049424395
config_7ec0d5fa228956e8,pair_40257b980c2277a5,3x3,3,3,same_skew,,,additive,first,0.02,0.02,0.019999999999999858,0.019999999999999858,0.0,0.0,2,2,200,12874982479140325889
config_7fef3767014ef7c4,pair_86dc09f24e35e3ec,8x8,8,8,different_skew,,,additive,first,0.0001,0.0021,9.999999999998935e-05,0.002100000000000006,0.0020000000000000165,0.0020000000000000165,1000,1000,200,4512108582942495345
config_804be0ff8cbe1a7f,pair_cf8c16c03a70b00c,3x3,3,3,custom_extreme,0.999,0.9995,additive,first,1e-05,0.00021,9.99999999991951e-06,0.00020999999999998914,0.00020000000000006964,0.00020000000000006964,1,1,200,11493910519251029503
config_805f7473e8345417,pair_057b57da58f311af,8x8,8,8,same_skew,,,additive,first,0.04,0.02,0.03999999999999959,0.019999999999999997,-0.019999999999999594,0.019999999999999594,50,50,200,4038698906876564762
config_808660befc209854,pair_a72726f85edc470d,8x8,8,8,uniform,,,additive,first,0.001,0.021,0.0010000000000000009,0.020999999999999998,0.019999999999999997,0.019999999999999997,20,20,200,3706743333175695480
config_814a03269c303f6a,pair_57c0709ba92e2e9a,8x8,8,8,uniform,,,additive,first,0.02,0.02,0.019999999999999997,0.019999999999999997,0.0,0.0,50000,50000,200,12107011089178979374
config_82230334db3a38d9,pair_52b1696d2979c524,3x3,3,3,uniform,,,loglinear,first,0.02,0.04,0.01999999999999974,0.03999999999999966,0.01999999999999992,0.01999999999999992,1000,1000,200,11958930275819103906
config_82d231c4cb77de36,pair_f79a47be5e38070d,2x2,2,2,different_skew,,,additive,first,0.02,0.04,0.019999999999999907,0.039999999999999994,0.020000000000000087,0.020000000000000087,20,20,200,12138300490031621475
config_82f24b8234f0c38e,pair_781a8ab0c8ee3ba8,8x8,8,8,different_skew,,,additive,first,0.0,0.02,-1.0103029524088927e-16,0.019999999999999997,0.020000000000000098,0.020000000000000098,1000,1000,200,8916162123672173253
config_837e09038fbf4985,pair_6d43b284da3e2d07,3x3,3,3,different_skew,,,additive,first,0.0001,0.0021,9.999999999999766e-05,0.0021000000000000662,0.0020000000000000686,0.0020000000000000686,1000,1000,200,17381860993950502527
config_83d3ec65449a13ce,pair_915fd4445dd7693e,3x3,3,3,uniform,,,additive,first,0.02,0.02,0.01999999999999999,0.01999999999999999,0.0,0.0,50,50,200,14099536684407518663
config_8465bfcfed929179,pair_093b9439f7a0356e,2x2,2,2,uniform,,,additive,first,0.02,0.22,0.01999999999999985,0.22000000000000006,0.2000000000000002,0.2000000000000002,20,20,200,16571018438286387069
config_850e2ff6f2cd4d82,pair_f92afa0319e6f637,2x2,2,2,uniform,,,additive,first,0.02,0.04,0.01999999999999985,0.04000000000000002,0.02000000000000017,0.02000000000000017,20,20,200,8591422264289651581
config_859eb808e23631c1,pair_f49d321de18d8318,8x8,8,8,custom_extreme,0.9,0.95,additive,first,1e-05,0.00011,9.99999999977034e-06,0.0001100000000000253,0.00010000000000025497,0.00010000000000025497,10000,10000,200,46072363037820704
config_8617b0c54b11e9e6,pair_e7d4865bbfc38b41,2x2,2,2,different_skew,,,additive,first,0.0,0.02,0.0,0.01999999999999995,0.01999999999999995,0.01999999999999995,1000,1000,200,11853548288641474027
config_871cd0082d7bd850,pair_ea0b97af1cf3295a,3x3,3,3,custom_extreme,0.9,0.95,additive,first,1e-05,0.00021,9.99999999992635e-06,0.00021000000000009395,0.0002000000000001676,0.0002000000000001676,1,1,200,16051270047394406334
config_871e346d0dc41b52,pair_f79a47be5e38070d,2x2,2,2,different_skew,,,additive,first,0.02,0.04,0.019999999999999907,0.039999999999999994,0.020000000000000087,0.020000000000000087,50,50,200,10870178159376600801
config_8754d115f92881b7,pair_286442dbddf79c00,8x8,8,8,different_skew,,,additive,spread,0.0001,0.0001,0.00010000000000019871,0.00010000000000017624,-2.247009002476208e-17,2.247009002476208e-17,20,20,200,11209473607479856812
config_8756cc17f54f717d,pair_4a4e8313c00982bf,3x3,3,3,different_skew,,,additive,first,0.02,0.04,0.01999999999999983,0.040000000000000036,0.020000000000000205,0.020000000000000205,50,50,200,18304160527766676734
config_8768ab6e6096c06f,pair_981b51d086cfa0d9,3x3,3,3,same_skew,,,additive,first,0.001,0.021,0.0009999999999998205,0.020999999999999974,0.020000000000000153,0.020000000000000153,20,20,200,13516954838034099675
