condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.0,0.0
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.001,0.002084726867335563
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.002,0.0037527870680044598
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.003,0.004586120401337793
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.004,0.0075055741360089195
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.005,0.009172240802675584
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.006,0.010006967670011146
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.007,0.012091694537346709
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.008,0.015011148272017836
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.009000000000000001,0.016680602006688965
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.01,0.018348662207357862
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.011,0.018765328874024528
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.012,0.021266722408026757
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.013000000000000001,0.02293478260869565
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.014,0.024186176142697878
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.015,0.02627090301003344
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.016,0.027520903010033446
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.017,0.02835423634336678
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.018000000000000002,0.02960562987736901
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.019,0.0312736900780379
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.02,0.031690356744704565
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.021,0.03377508361204013
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.022,0.03419314381270903
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.023,0.035443143812709035
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.024,0.035443143812709035
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.025,0.0358598104793757
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.026000000000000002,0.03711120401337793
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.027,0.037527870680044595
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.028,0.03794453734671126
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.029,0.03919453734671125
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.03,0.04002787068004459
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.031,0.04211259754738016
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.032,0.043363991081382385
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.033,0.044197324414715716
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.034,0.045032051282051275
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.035,0.04711677814938685
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.036000000000000004,0.04795011148272017
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.037,0.050036231884057966
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.038,0.05295707915273132
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.039,0.053790412486064657
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.04,0.05504041248606465
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.041,0.05587374581939799
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.042,0.05587374581939799
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.043000000000000003,0.058793199554069114
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.044,0.059209866220735784
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.045,0.06171404682274247
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.046,0.0625473801560758
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.047,0.06338210702341138
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.048,0.06463210702341138
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.049,0.06713210702341137
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.05,0.06838210702341137
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.051000000000000004,0.06880016722408026
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.052000000000000005,0.0700515607580825
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.053,0.0700515607580825
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.054,0.07171962095875141
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.055,0.07338628762541806
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.056,0.07338628762541806
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.057,0.07463628762541806
