scenario_id,regime,rows,columns,n,margin_a,margin_b,target_mi_a,target_mi_b,pairing,pattern_a,pattern_b,true_mi_a,true_mi_b,true_delta,population_variance_a,population_variance_b,population_covariance,population_score_correlation,coupling_margin_error_a,coupling_margin_error_b,min_expected_joint_a,min_expected_joint_b,expected_joint_below_1_a,expected_joint_below_1_b,expected_joint_below_5_a,expected_joint_below_5_b,condition_distribution_l1,replicates,scenario_seed,simulation_and_test_seconds,mean_test_microseconds
weak_2x2_n200_pair04,weak_2x2,2,2,200,balanced,strong,0.05,0.05,0.4,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.016005888185071614,0.14434889144344945,2.7755575615628914e-17,1.1102230246251565e-16,34.321840163503374,9.058535099625049,0.0,0.0,0.0,0.0,1.0338037526313446,5000,2587513596,0.00338570901658386,0.677141803316772
weak_2x2_n200_pair08,weak_2x2,2,2,200,balanced,strong,0.05,0.05,0.8,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.032011776370143234,0.28869778288689896,5.551115123125783e-17,1.1102230246251565e-16,34.321840163503374,9.058535099625049,0.0,0.0,0.0,0.0,1.0338037526313446,5000,909259685,0.003353290958330035,0.670658191666007
weak_2x2_n500_pair00,weak_2x2,2,2,500,balanced,strong,0.05,0.05,0.0,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,3.2526065174565133e-19,2.9333588968495327e-18,5.551115123125783e-17,6.938893903907228e-18,85.80460040875843,22.64633774906262,0.0,0.0,0.0,0.0,1.0338037526313446,5000,975394109,0.0033800419187173247,0.676008383743465
weak_2x2_n500_pair04,weak_2x2,2,2,500,balanced,strong,0.05,0.05,0.4,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.016005888185071614,0.14434889144344945,2.7755575615628914e-17,1.1102230246251565e-16,85.80460040875843,22.64633774906262,0.0,0.0,0.0,0.0,1.0338037526313446,5000,3471179377,0.003545125015079975,0.709025003015995
weak_2x2_n500_pair08,weak_2x2,2,2,500,balanced,strong,0.05,0.05,0.8,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.032011776370143234,0.28869778288689896,5.551115123125783e-17,1.1102230246251565e-16,85.80460040875843,22.64633774906262,0.0,0.0,0.0,0.0,1.0338037526313446,5000,547389944,0.003879375057294965,0.775875011458993
weak_2x2_n1000_pair00,weak_2x2,2,2,1000,balanced,strong,0.05,0.05,0.0,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,3.2526065174565133e-19,2.9333588968495327e-18,5.551115123125783e-17,6.938893903907228e-18,171.60920081751686,45.29267549812524,0.0,0.0,0.0,0.0,1.0338037526313446,5000,2795558905,0.0035137090599164367,0.7027418119832873
weak_2x2_n1000_pair04,weak_2x2,2,2,1000,balanced,strong,0.05,0.05,0.4,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.016005888185071614,0.14434889144344945,2.7755575615628914e-17,1.1102230246251565e-16,171.60920081751686,45.29267549812524,0.0,0.0,0.0,0.0,1.0338037526313446,5000,859544121,0.0033034170046448708,0.6606834009289742
weak_2x2_n1000_pair08,weak_2x2,2,2,1000,balanced,strong,0.05,0.05,0.8,ordinal,cyclic,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.09494241304247043,0.12950078048167826,0.032011776370143234,0.28869778288689896,5.551115123125783e-17,1.1102230246251565e-16,171.60920081751686,45.29267549812524,0.0,0.0,0.0,0.0,1.0338037526313446,5000,3038271848,0.0033914169762283564,0.6782833952456713
sparse_3x3_n50_pair00,sparse_3x3,3,3,50,strong,strong,0.05,0.05,0.0,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,-4.336808689942018e-19,-3.0655910202377295e-18,1.1102230246251565e-16,1.1102230246251565e-16,0.2288925284533338,0.2288925284533338,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,5000,3062092253,0.007869250024668872,1.5738500049337745
sparse_3x3_n50_pair04,sparse_3x3,3,3,50,strong,strong,0.05,0.05,0.4,ordinal,ordinal,0.049999999999999656,0.049999999999999656,0.0,0.14146729492982754,0.14146729492982754,0.05658691797193101,0.39999999999999997,6.938893903907228e-18,6.938893903907228e-18,0.2288925284533338,0.2288925284533338,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,5000,2876072979,0.007820791914127767,1.5641583828255534
