shape,profile,family,constructor,n_p,n_q,relative_effect,achieved_mi_p,achieved_mi_q,absolute_mi_difference,wald_rejection,wald_valid,welch_rejection,welch_valid,welch_minus_wald
3x3,uniform,common,loglinear,250,250,0.6,0.0512213627931033,0.2048854511724185,0.1536640883793103,0.9701,1.0,0.9691,1.0,-0.0010000000000000009
3x3,uniform,common,loglinear,1000,1000,0.6,0.0512213627931033,0.2048854511724185,0.1536640883793103,1.0,1.0,1.0,1.0,0.0
3x3,uniform,common,loglinear,50,500,0.6,0.0512213627931033,0.2048854511724185,0.1536640883793103,0.6937,1.0,0.6289,1.0,-0.06479999999999997
3x3,uniform,common,loglinear,500,50,0.6,0.0512213627931033,0.2048854511724185,0.1536640883793103,0.5404,1.0,0.4992,1.0,-0.041200000000000014
3x3,uniform,rare,additive,10,10,0.0,0.051221362793103,0.051221362793103,0.0,0.1195,1.0,0.035,0.997,-0.08449999999999999
3x3,uniform,rare,additive,50,50,0.0,0.051221362793103,0.051221362793103,0.0,0.0515,1.0,0.0353,1.0,-0.0162
3x3,uniform,rare,additive,250,250,0.0,0.051221362793103,0.051221362793103,0.0,0.0417,1.0,0.0371,1.0,-0.0046
3x3,uniform,rare,additive,1000,1000,0.0,0.051221362793103,0.051221362793103,0.0,0.0476,1.0,0.0455,1.0,-0.0021000000000000046
3x3,uniform,rare,additive,50,500,0.0,0.051221362793103,0.051221362793103,0.0,0.0903,1.0,0.0225,1.0,-0.0678
3x3,uniform,rare,additive,500,50,0.0,0.051221362793103,0.051221362793103,0.0,0.0834,1.0,0.0203,1.0,-0.0631
3x3,uniform,rare,additive,10,10,0.1,0.051221362793103,0.0768320441896541,0.0256106813965517,0.1237,1.0,0.0391,0.9971,-0.08460000000000001
3x3,uniform,rare,additive,50,50,0.1,0.051221362793103,0.0768320441896541,0.0256106813965517,0.074,1.0,0.0568,1.0,-0.017199999999999993
3x3,uniform,rare,additive,250,250,0.1,0.051221362793103,0.0768320441896541,0.0256106813965517,0.1205,1.0,0.1116,1.0,-0.008899999999999991
3x3,uniform,rare,additive,1000,1000,0.1,0.051221362793103,0.0768320441896541,0.0256106813965517,0.3959,1.0,0.3918,1.0,-0.0040999999999999925
3x3,uniform,rare,additive,50,500,0.1,0.051221362793103,0.0768320441896541,0.0256106813965517,0.1402,1.0,0.0177,1.0,-0.1225
3x3,uniform,rare,additive,500,50,0.1,0.051221362793103,0.0768320441896541,0.0256106813965517,0.0907,1.0,0.0557,1.0,-0.035
3x3,uniform,rare,additive,10,10,0.3,0.051221362793103,0.1280534069827581,0.0768320441896551,0.1355,1.0,0.0383,0.9962,-0.09720000000000001
3x3,uniform,rare,additive,50,50,0.3,0.051221362793103,0.1280534069827581,0.0768320441896551,0.1804,1.0,0.1566,1.0,-0.023800000000000016
3x3,uniform,rare,additive,250,250,0.3,0.051221362793103,0.1280534069827581,0.0768320441896551,0.5923,1.0,0.581,1.0,-0.011300000000000088
3x3,uniform,rare,additive,1000,1000,0.3,0.051221362793103,0.1280534069827581,0.0768320441896551,0.9939,1.0,0.9937,1.0,-0.00019999999999997797
3x3,uniform,rare,additive,50,500,0.3,0.051221362793103,0.1280534069827581,0.0768320441896551,0.3425,1.0,0.1805,1.0,-0.16200000000000003
3x3,uniform,rare,additive,500,50,0.3,0.051221362793103,0.1280534069827581,0.0768320441896551,0.2309,1.0,0.2009,1.0,-0.03
3x3,uniform,rare,additive,10,10,0.6,0.051221362793103,0.2048854511724085,0.1536640883793103,0.1688,1.0,0.0535,0.9959,-0.11530000000000001
3x3,uniform,rare,additive,50,50,0.6,0.051221362793103,0.2048854511724085,0.1536640883793103,0.4674,1.0,0.4312,1.0,-0.036199999999999954
3x3,uniform,rare,additive,250,250,0.6,0.051221362793103,0.2048854511724085,0.1536640883793103,0.981,1.0,0.9802,1.0,-0.0008000000000000229
3x3,uniform,rare,additive,1000,1000,0.6,0.051221362793103,0.2048854511724085,0.1536640883793103,1.0,1.0,1.0,1.0,0.0
3x3,uniform,rare,additive,50,500,0.6,0.051221362793103,0.2048854511724085,0.1536640883793103,0.7087,1.0,0.6407,1.0,-0.06799999999999995
3x3,uniform,rare,additive,500,50,0.6,0.051221362793103,0.2048854511724085,0.1536640883793103,0.6373,1.0,0.5994,1.0,-0.037899999999999934
3x3,uniform,rare,loglinear,10,10,0.0,0.0512213627931033,0.0512213627931033,0.0,0.1117,1.0,0.0316,0.9985,-0.08009999999999999
3x3,uniform,rare,loglinear,50,50,0.0,0.0512213627931033,0.0512213627931033,0.0,0.0492,1.0,0.036,1.0,-0.013200000000000003
3x3,uniform,rare,loglinear,250,250,0.0,0.0512213627931033,0.0512213627931033,0.0,0.0431,1.0,0.0371,1.0,-0.005999999999999998
3x3,uniform,rare,loglinear,1000,1000,0.0,0.0512213627931033,0.0512213627931033,0.0,0.0485,1.0,0.047,1.0,-0.0015000000000000013
3x3,uniform,rare,loglinear,50,500,0.0,0.0512213627931033,0.0512213627931033,0.0,0.0885,1.0,0.0196,1.0,-0.06889999999999999
3x3,uniform,rare,loglinear,500,50,0.0,0.0512213627931033,0.0512213627931033,0.0,0.0885,1.0,0.0217,1.0,-0.0668
3x3,uniform,rare,loglinear,10,10,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.1208,1.0,0.0358,0.9969,-0.085
3x3,uniform,rare,loglinear,50,50,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.0716,1.0,0.0547,1.0,-0.0169
3x3,uniform,rare,loglinear,250,250,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.1187,1.0,0.1084,1.0,-0.010300000000000004
3x3,uniform,rare,loglinear,1000,1000,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.3883,1.0,0.3825,1.0,-0.005799999999999972
3x3,uniform,rare,loglinear,50,500,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.1391,1.0,0.0174,1.0,-0.1217
3x3,uniform,rare,loglinear,500,50,0.1,0.0512213627931033,0.076832044189681,0.0256106813965517,0.0865,1.0,0.0514,1.0,-0.03509999999999999
3x3,uniform,rare,loglinear,10,10,0.3,0.0512213627931033,0.1280534069827583,0.0768320441896551,0.1386,1.0,0.0434,0.9961,-0.0952
