configuration_id,experiment,shape,rows,columns,skewness,relationship,interaction_pair,n_p,n_q,sample_size_ratio_q_to_p,relative_effect,replicates,structural_breakdown,simulation_seed
calibration__2x2__mild__equal_mi_different_shape__primary__np30__nq30__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,30,30,1.0,0.0,10000,False,16324622654771027486
calibration__2x2__mild__equal_mi_different_shape__primary__np3__nq3__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,3,3,1.0,0.0,10000,False,3014461088302585601
calibration__2x2__mild__equal_mi_different_shape__primary__np4__nq4__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,4,4,1.0,0.0,10000,False,9010330865587409333
calibration__2x2__mild__equal_mi_different_shape__primary__np500__nq500__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,500,500,1.0,0.0,10000,False,14163896497993957660
calibration__2x2__mild__equal_mi_different_shape__primary__np50__nq50__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,50,50,1.0,0.0,10000,False,16506632301949795440
calibration__2x2__mild__equal_mi_different_shape__primary__np5__nq5__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,5,5,1.0,0.0,10000,False,148170968294462753
calibration__2x2__mild__equal_mi_different_shape__primary__np6__nq6__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,6,6,1.0,0.0,10000,False,16218440183877428165
calibration__2x2__mild__equal_mi_different_shape__primary__np75__nq75__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,75,75,1.0,0.0,10000,False,15790650952398977171
calibration__2x2__mild__equal_mi_different_shape__primary__np8__nq8__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,8,8,1.0,0.0,10000,False,13027027241119110590
calibration__2x2__mild__identical_distribution__primary__np1000__nq1000__e0,calibration,2x2,2,2,mild,identical_distribution,primary,1000,1000,1.0,0.0,10000,False,17219430861488732392
calibration__2x2__mild__identical_distribution__primary__np100__nq100__e0,calibration,2x2,2,2,mild,identical_distribution,primary,100,100,1.0,0.0,10000,False,3205080620417313944
calibration__2x2__mild__identical_distribution__primary__np10__nq10__e0,calibration,2x2,2,2,mild,identical_distribution,primary,10,10,1.0,0.0,10000,False,17090409286427647134
calibration__2x2__mild__identical_distribution__primary__np12__nq12__e0,calibration,2x2,2,2,mild,identical_distribution,primary,12,12,1.0,0.0,10000,False,18160281033333319837
calibration__2x2__mild__identical_distribution__primary__np150__nq150__e0,calibration,2x2,2,2,mild,identical_distribution,primary,150,150,1.0,0.0,10000,False,14589765424295404208
calibration__2x2__mild__identical_distribution__primary__np15__nq15__e0,calibration,2x2,2,2,mild,identical_distribution,primary,15,15,1.0,0.0,10000,False,11677168613059786638
calibration__2x2__mild__identical_distribution__primary__np20__nq20__e0,calibration,2x2,2,2,mild,identical_distribution,primary,20,20,1.0,0.0,10000,False,9119296583920618969
calibration__2x2__mild__identical_distribution__primary__np250__nq250__e0,calibration,2x2,2,2,mild,identical_distribution,primary,250,250,1.0,0.0,10000,False,417420446830539512
calibration__2x2__mild__identical_distribution__primary__np2__nq2__e0,calibration,2x2,2,2,mild,identical_distribution,primary,2,2,1.0,0.0,10000,False,4233188373842100946
calibration__2x2__mild__identical_distribution__primary__np30__nq30__e0,calibration,2x2,2,2,mild,identical_distribution,primary,30,30,1.0,0.0,10000,False,8434472154217920321
calibration__2x2__mild__identical_distribution__primary__np3__nq3__e0,calibration,2x2,2,2,mild,identical_distribution,primary,3,3,1.0,0.0,10000,False,5828215528735874153
calibration__2x2__mild__identical_distribution__primary__np4__nq4__e0,calibration,2x2,2,2,mild,identical_distribution,primary,4,4,1.0,0.0,10000,False,3333705850380686668
calibration__2x2__mild__identical_distribution__primary__np500__nq500__e0,calibration,2x2,2,2,mild,identical_distribution,primary,500,500,1.0,0.0,10000,False,15947929436259334031
calibration__2x2__mild__identical_distribution__primary__np50__nq50__e0,calibration,2x2,2,2,mild,identical_distribution,primary,50,50,1.0,0.0,10000,False,8007691424520075014
calibration__2x2__mild__identical_distribution__primary__np5__nq5__e0,calibration,2x2,2,2,mild,identical_distribution,primary,5,5,1.0,0.0,10000,False,12877365088336063242
calibration__2x2__mild__identical_distribution__primary__np6__nq6__e0,calibration,2x2,2,2,mild,identical_distribution,primary,6,6,1.0,0.0,10000,False,4269758793981653888
calibration__2x2__mild__identical_distribution__primary__np75__nq75__e0,calibration,2x2,2,2,mild,identical_distribution,primary,75,75,1.0,0.0,10000,False,11774646850467017202
calibration__2x2__mild__identical_distribution__primary__np8__nq8__e0,calibration,2x2,2,2,mild,identical_distribution,primary,8,8,1.0,0.0,10000,False,9416912741987775600
calibration__2x2__strong__equal_mi_different_shape__primary__np1000__nq1000__e0,calibration,2x2,2,2,strong,equal_mi_different_shape,primary,1000,1000,1.0,0.0,10000,False,6923367504017057868
