configuration_id,shape,alphabet_size,regime,regime_label,sample_size_p,sample_size_q,true_mi_p,true_mi_q,true_mi_difference,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,source
3x3_balanced_n150,3x3,3,balanced,Balanced margins,150,150,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,33,0.033,0.0235929279584269,0.0459812644670815,fixed_effect_screen
3x3_balanced_n150,3x3,3,balanced,Balanced margins,150,150,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,38,0.038,0.0278090045093026,0.0517269203313503,fixed_effect_screen
3x3_balanced_n150_delta0.005,3x3,3,balanced,Balanced margins,150,150,0.05,0.055,0.005,constrained_lr,Constrained LR,1000,1000,1.0,44,0.044,0.0329382145884185,0.058551789150407776,curve_run
3x3_balanced_n150_delta0.005,3x3,3,balanced,Balanced margins,150,150,0.05,0.055,0.005,expanded_welch,Expanded Welch,1000,1000,1.0,31,0.031,0.02192400344715857,0.04366549601229214,curve_run
3x3_balanced_n150_delta0.005,3x3,3,balanced,Balanced margins,150,150,0.05,0.055,0.005,normal_wald,Normal Wald,1000,1000,1.0,40,0.04,0.02951097368545276,0.05400964412125796,curve_run
3x3_balanced_n150_delta0.01,3x3,3,balanced,Balanced margins,150,150,0.05,0.060000000000000005,0.01,constrained_lr,Constrained LR,1000,1000,1.0,48,0.048,0.036393301020807914,0.06306608865013393,curve_run
3x3_balanced_n150_delta0.01,3x3,3,balanced,Balanced margins,150,150,0.05,0.060000000000000005,0.01,expanded_welch,Expanded Welch,1000,1000,1.0,31,0.031,0.02192400344715857,0.04366549601229214,curve_run
3x3_balanced_n150_delta0.01,3x3,3,balanced,Balanced margins,150,150,0.05,0.060000000000000005,0.01,normal_wald,Normal Wald,1000,1000,1.0,42,0.042,0.031220885546165447,0.056284425226603055,curve_run
3x3_balanced_n150_delta0.02,3x3,3,balanced,Balanced margins,150,150,0.05,0.07,0.02,constrained_lr,Constrained LR,1000,1000,1.0,66,0.066,0.05221235045948584,0.08310927590597601,curve_run
3x3_balanced_n150_delta0.02,3x3,3,balanced,Balanced margins,150,150,0.05,0.07,0.02,expanded_welch,Expanded Welch,1000,1000,1.0,52,0.052,0.03987303628377742,0.06755573931927998,curve_run
3x3_balanced_n150_delta0.02,3x3,3,balanced,Balanced margins,150,150,0.05,0.07,0.02,normal_wald,Normal Wald,1000,1000,1.0,62,0.062,0.04866418011998064,0.07868806031336564,curve_run
3x3_balanced_n150_delta0.035,3x3,3,balanced,Balanced margins,150,150,0.05,0.085,0.035,constrained_lr,Constrained LR,1000,1000,1.0,121,0.121,0.10222378228920963,0.14267690064284116,curve_run
3x3_balanced_n150_delta0.035,3x3,3,balanced,Balanced margins,150,150,0.05,0.085,0.035,expanded_welch,Expanded Welch,1000,1000,1.0,93,0.093,0.07652372564174531,0.11259125576549656,curve_run
3x3_balanced_n150_delta0.035,3x3,3,balanced,Balanced margins,150,150,0.05,0.085,0.035,normal_wald,Normal Wald,1000,1000,1.0,109,0.109,0.09116003338451377,0.12983249175119035,curve_run
3x3_balanced_n150,3x3,3,balanced,Balanced margins,150,150,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,202,0.202,0.1782775782534237,0.2280031698039671,fixed_effect_screen
3x3_balanced_n150,3x3,3,balanced,Balanced margins,150,150,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,181,0.181,0.1583719404439808,0.2060695314698033,fixed_effect_screen
3x3_balanced_n150,3x3,3,balanced,Balanced margins,150,150,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,200,0.2,0.1763770904431985,0.2259189646481346,fixed_effect_screen
3x3_balanced_n250,3x3,3,balanced,Balanced margins,250,250,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,45,0.045,0.0337995122856317,0.0596828379362234,fixed_effect_screen
