configuration_id,pair_id,shape,rows,columns,profile,dominant_p,dominant_q,constructor,pattern,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,signed_mi_difference_q_minus_p,absolute_mi_difference,n_p,n_q,replicates,simulation_seed
config_025004d8b440d32e,pair_f49d321de18d8318,8x8,8,8,custom_extreme,0.9,0.95,additive,first,1e-05,0.00011,9.99999999977034e-06,0.0001100000000000253,0.00010000000000025497,0.00010000000000025497,1000,1000,20000,16258449244498063060
config_025759b0977efaba,pair_4dbde7c257146663,3x3,3,3,same_skew,,,additive,first,0.0001,0.0021,0.00010000000000003344,0.0021000000000000662,0.002000000000000033,0.002000000000000033,1000,1000,20000,5897113337977894791
config_028d7b0de062fc71,pair_edb64280f7f8e823,3x3,3,3,uniform,,,additive,first,0.025,0.02,0.025000000000000022,0.01999999999999999,-0.005000000000000032,0.005000000000000032,500,500,20000,4744249995049770314
config_028ecc4fc05bc410,pair_d90b8b34373829e0,5x5,5,5,same_skew,,,additive,first,0.02,0.025,0.019999999999999872,0.02499999999999993,0.0050000000000000565,0.0050000000000000565,50,500,20000,14772195513878664397
config_02906e6ef8b931ca,pair_77d4726f9e436b7f,3x3,3,3,same_skew,,,additive,first,0.025,0.02,0.025000000000000328,0.019999999999999858,-0.005000000000000469,0.005000000000000469,100,50,20000,12014002343079929060
config_02b59bcdf214cad1,pair_dc06364c84b6e171,2x2,2,2,different_skew,,,additive,first,0.0001,0.0021,9.99999999999569e-05,0.0021000000000000463,0.0020000000000000894,0.0020000000000000894,100,100,20000,6525190733130981264
config_02bcbd3fbca47ab7,pair_8d60f1e964e833c4,8x8,8,8,uniform,,,additive,first,0.001,0.003,0.0010000000000000009,0.0029999999999999246,0.0019999999999999237,0.0019999999999999237,20,20,20000,9207885986581401832
config_02c97848c7690ee5,pair_26a1cb58fe278277,8x8,8,8,custom_extreme,0.9,0.95,additive,first,1e-05,3.5000000000000004e-05,9.99999999977034e-06,3.5000000000050724e-05,2.5000000000280386e-05,2.5000000000280386e-05,100,100,20000,18175986158716421610
config_02d1af6333a75f2b,pair_c05eb36f14bc3704,3x3,3,3,same_skew,,,additive,first,0.02,0.021,0.019999999999999858,0.020999999999999974,0.0010000000000001154,0.0010000000000001154,250,50,20000,11867779821699089752
config_02e0d83e98e6a6ed,pair_dc9e16529236fd76,3x3,3,3,same_skew,,,additive,first,0.02,0.07,0.019999999999999858,0.07000000000000009,0.05000000000000023,0.05000000000000023,20,20,20000,18273724379345980151
config_02e8417a0165338a,pair_b71c16122efe963c,8x8,8,8,uniform,,,additive,first,0.02,0.022,0.019999999999999997,0.02199999999999993,0.0019999999999999324,0.0019999999999999324,100,50,20000,2900884175744724732
config_0333fbc87b502f0b,pair_3d616241f2c6e275,3x3,3,3,different_skew,,,additive,rare,0.0001,0.0021,0.0001000000000000523,0.002099999999999989,0.0019999999999999367,0.0019999999999999367,1000,1000,20000,16958428675783687767
config_033b35a7a6c4fa8a,pair_cd3f51adc4b4ed85,2x2,2,2,same_skew,,,additive,first,0.02,0.02,0.01999999999999995,0.01999999999999995,0.0,0.0,10,10,20000,2348617675585097657
config_0375c4a204613747,pair_f92afa0319e6f637,2x2,2,2,uniform,,,additive,first,0.02,0.04,0.01999999999999985,0.04000000000000002,0.02000000000000017,0.02000000000000017,2,2,20000,17170885797022702019
config_0386a61b0ea34b17,pair_5fb4b798b2099807,8x8,8,8,custom_extreme,0.99,0.995,additive,first,1e-05,0.00021,1.0000000000052644e-05,0.0002100000000009362,0.00020000000000088355,0.00020000000000088355,5,5,20000,10507976393873092783
config_03a458ce6c995251,pair_028ce0ffa99b3aba,8x8,8,8,different_skew,,,additive,first,0.001,0.021,0.0010000000000003517,0.02100000000000014,0.01999999999999979,0.01999999999999979,100,100,20000,7711459774057959278
config_03c909777532f4da,pair_9df2d09eb3791f17,8x8,8,8,different_skew,,,additive,first,0.001,0.003,0.0010000000000003517,0.003000000000000053,0.0019999999999997012,0.0019999999999997012,1000,1000,20000,14205166453740407958
config_03d3e1181798c4c0,pair_1280eaf26768bc08,2x2,2,2,uniform,,,additive,first,0.0,0.005,0.0,0.004999999999999942,0.004999999999999942,0.004999999999999942,2,2,20000,3851675648326752107
config_03eb190c120774fd,pair_256ab9b3d2111c19,8x8,8,8,custom_extreme,0.9,0.95,additive,first,1e-05,1e-05,9.99999999977034e-06,9.999999999955183e-06,1.8484291788162244e-16,1.8484291788162244e-16,5,5,20000,7972855143481452881
config_03fef4c3455de7d4,pair_2de5a5fbe7e803db,8x8,8,8,custom_extreme,0.9,0.95,additive,rare,1e-05,6e-05,9.999999999999965e-06,6.000000000000116e-05,5.0000000000001195e-05,5.0000000000001195e-05,10000,10000,20000,9033090339961920109
config_04019316e6e03ce2,pair_d4423a2fa1922834,2x2,2,2,uniform,,,additive,first,0.0001,0.0201,9.999999999994562e-05,0.02009999999999973,0.019999999999999782,0.019999999999999782,20,20,20000,9942686033301393638
config_0423cdb1cb26081e,pair_ce1cdc6388a0bddc,3x3,3,3,different_skew,,,loglinear,first,0.0001,0.0001,9.99999999999248e-05,0.00010000000000001544,9.063930161978817e-17,9.063930161978817e-17,100,100,20000,11212041723949375606
config_042d6a9ae47133f1,pair_915fd4445dd7693e,3x3,3,3,uniform,,,additive,first,0.02,0.02,0.01999999999999999,0.01999999999999999,0.0,0.0,500,50,20000,6470835564242215156
config_0492f895b5360290,pair_45f2b342723736ae,5x5,5,5,uniform,,,additive,first,0.02,0.04,0.019999999999999993,0.03999999999999981,0.019999999999999813,0.019999999999999813,50,250,20000,14925156602583767650
config_049d516c110ebcec,pair_9135fa4edca7b321,3x3,3,3,same_skew,,,additive,first,0.04,0.02,0.040000000000000036,0.019999999999999858,-0.020000000000000177,0.020000000000000177,50,500,20000,4629119211383684607
config_04a098826b99e50e,pair_f5a04326c5b6256a,8x8,8,8,different_skew,,,additive,first,0.02,0.03,0.020000000000000108,0.029999999999999114,0.009999999999999006,0.009999999999999006,2,2,20000,8322513672902853341
