display_id,section,figure_key,row_key,row_label,column_key,column_label,x_kind,x_value,shape,profile,dominant_p,dominant_q,pattern,constructor,baseline_mi,mi_direction,mi_difference,target_mi_p,target_mi_q,n_p,n_q,pair_id,configuration_id
display_00504,main,main_8x8_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.0,8x8,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_57c0709ba92e2e9a,config_313a5e5c05280f9e
display_00509,main,main_8x8_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.02,8x8,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_5b37ff86eea397f4,config_54727a096f018329
display_00510,main,main_8x8_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.0,8x8,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_57c0709ba92e2e9a,config_7216a26255b81d99
display_00515,main,main_8x8_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.02,8x8,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_5b37ff86eea397f4,config_be771034c938bb9e
display_00528,main,main_8x8_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.0,8x8,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_57c0709ba92e2e9a,config_6764faba76c52a5c
display_00533,main,main_8x8_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.02,8x8,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_5b37ff86eea397f4,config_63053a412959e312
display_00534,main,main_8x8_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.0,8x8,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_57c0709ba92e2e9a,config_621be532862cd442
display_00539,main,main_8x8_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.02,8x8,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_5b37ff86eea397f4,config_575da483e905b2f4
display_00540,main,main_8x8_small,same_skew,same skew,2,nP=nQ=2,mi_difference,0.0,8x8,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_6271495019b80969,config_7bd6236dc28bb6ef
display_00545,main,main_8x8_small,same_skew,same skew,2,nP=nQ=2,mi_difference,0.02,8x8,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_9584ef4a7c5207d0,config_bbc5757736008cfd
display_00558,main,main_8x8_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.0,8x8,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_6271495019b80969,config_e005ea8a05c1ddad
display_00563,main,main_8x8_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.02,8x8,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_9584ef4a7c5207d0,config_0d0b3f22a9f3adc8
