configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,minimum_expected_count,method,method_label,alpha,replicates,valid_count,valid_rate,reject_count,false_positive_rate,absolute_fpr_error,wilson_low,wilson_high
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,expanded_welch,Expanded Welch,0.01,100,99,0.99,0,0.0,0.01,0.0,0.03735321206782739
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,normal_wald,Normal Wald,0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,simple_welch,Simple Welch,0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,bartlett_lr,Constrained LR (oracle Bartlett),0.05,100,100,1.0,0,0.0,0.05,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,constrained_lr,Constrained LR (chi-squared),0.05,100,100,1.0,0,0.0,0.05,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,empirical_lr,Constrained LR (split empirical),0.05,100,100,1.0,0,0.0,0.05,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,expanded_welch,Expanded Welch,0.05,100,99,0.99,0,0.0,0.05,0.0,0.03735321206782739
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,normal_wald,Normal Wald,0.05,100,100,1.0,2,0.02,0.030000000000000002,0.00550196755016235,0.07001179072854388
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,simple_welch,Simple Welch,0.05,100,100,1.0,2,0.02,0.030000000000000002,0.00550196755016235,0.07001179072854388
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,bartlett_lr,Constrained LR (oracle Bartlett),0.1,100,100,1.0,2,0.02,0.08,0.00550196755016235,0.07001179072854388
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,constrained_lr,Constrained LR (chi-squared),0.1,100,100,1.0,0,0.0,0.1,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,empirical_lr,Constrained LR (split empirical),0.1,100,100,1.0,2,0.02,0.08,0.00550196755016235,0.07001179072854388
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,expanded_welch,Expanded Welch,0.1,100,99,0.99,1,0.010101010101010102,0.08989898989898991,0.0017853072791700793,0.055015314645872934
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,normal_wald,Normal Wald,0.1,100,100,1.0,10,0.1,0.0,0.0552291370606751,0.17436566150491345
