scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,correction,valid_replicates,mean_delta_error,mean_standard_error,standardized_mean_bias,empirical_delta_sd,sd_to_mean_se_ratio
adversarial_3x3_d14,extreme_imbalance,Extreme sample imbalance,variant_1,3,3,225,2250,0.07,0.8994264364712156,10.0,2032883690,10000,jackknife,10000,0.00033813279768148607,0.024133197297632053,0.014011106506582268,0.026261755737483117,1.088200432524534
adversarial_3x3_d15,extreme_imbalance,Extreme sample imbalance,variant_2,3,3,120,2400,0.15,0.2580292155229918,20.0,1604980699,10000,analytic,10000,-0.0009742605518521021,0.034609361923072374,-0.028150202653768375,0.036090095940412285,1.0427842044771354
adversarial_3x3_d15,extreme_imbalance,Extreme sample imbalance,variant_2,3,3,120,2400,0.15,0.2580292155229918,20.0,1604980699,10000,jackknife,10000,0.0015247644200587528,0.034609361923072374,0.04405641523955016,0.03891815681161955,1.1244979580416568
random_3x7_d0,well_sampled,Well sampled,variant_1,3,7,2100,2100,0.03,36.559630417028394,1.0,3929233077,10000,analytic,10000,7.106384009672493e-05,0.00770942791704705,0.009217783843544202,0.007611431788977612,0.9872887937829019
random_3x7_d0,well_sampled,Well sampled,variant_1,3,7,2100,2100,0.03,36.559630417028394,1.0,3929233077,10000,jackknife,10000,7.119329470799762e-05,0.00770942791704705,0.00923457557085077,0.00761105111458105,0.9872394160079674
random_3x7_d1,moderate,Moderate,variant_1,3,7,1050,2100,0.07,12.248645261769443,2.0,3930232604,10000,analytic,10000,0.0002369767311343489,0.013591137457371234,0.01743612202272468,0.01362862948462867,1.0027585643493806
random_3x7_d1,moderate,Moderate,variant_1,3,7,1050,2100,0.07,12.248645261769443,2.0,3930232604,10000,jackknife,10000,0.00018283085966629394,0.013591137457371234,0.013452211799030445,0.01362433902684829,1.0024428837969739
random_3x7_d2,sparse_imbalanced,Sparse and imbalanced,variant_1,3,7,525,2100,0.15,1.7916201115899255,4.0,3539429236,10000,analytic,10000,2.963290299705472e-05,0.022029035182036135,0.00134517480008472,0.022303073245512114,1.0124398577246563
random_3x7_d2,sparse_imbalanced,Sparse and imbalanced,variant_1,3,7,525,2100,0.15,1.7916201115899255,4.0,3539429236,10000,jackknife,10000,-0.0005337979671978701,0.022029035182036135,-0.024231563606251928,0.022304454535865565,1.0125025608953597
random_3x7_d3,well_sampled,Well sampled,variant_2,3,7,4200,4200,0.03,0.0106883886044996,1.0,3443095830,10000,analytic,10000,0.0004109171638301021,0.00537458876894993,0.07645555436800158,0.005360022671751463,0.9972898210775458
random_3x7_d3,well_sampled,Well sampled,variant_2,3,7,4200,4200,0.03,0.0106883886044996,1.0,3443095830,10000,jackknife,10000,-0.00022758374555198628,0.00537458876894993,-0.04234440165297537,0.005356090771020655,0.9965582486912968
random_3x7_d4,moderate,Moderate,variant_2,3,7,420,840,0.07,2.346365727585037,2.0,857867422,10000,analytic,10000,-0.00015987316338193091,0.022011721942744564,-0.007263092083290095,0.021882055740877968,0.9941092204324643
random_3x7_d4,moderate,Moderate,variant_2,3,7,420,840,0.07,2.346365727585037,2.0,857867422,10000,jackknife,10000,-0.001006175788073283,0.022011721942744564,-0.045710907610521385,0.021837174786175983,0.9920702634249786
random_3x7_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,3,7,210,840,0.15,0.4600545196034585,4.0,2620080462,10000,analytic,10000,0.002385371311014154,0.04056214198693381,0.05880782409820833,0.04204003584364836,1.0364353011039364
random_3x7_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,3,7,210,840,0.15,0.4600545196034585,4.0,2620080462,10000,jackknife,10000,-0.0002766363885320711,0.04056214198693381,-0.006820063610575185,0.04261498226349467,1.0506097601359943
stress_3x7_d6,highly_sparse,Highly skewed and sparse,variant_1,3,7,1796,1796,0.1,1.2300380263504282,1.0,3256796944,10000,analytic,10000,-0.0002146721331690169,0.013732317597014453,-0.01563262221780312,0.013779141669918145,1.0034097720630837
stress_3x7_d6,highly_sparse,Highly skewed and sparse,variant_1,3,7,1796,1796,0.1,1.2300380263504282,1.0,3256796944,10000,jackknife,10000,-0.00037076111986360054,0.013732317597014453,-0.026999165817735517,0.013777191146035383,1.0032677331196218
stress_3x7_d7,highly_sparse,Highly skewed and sparse,variant_2,3,7,54321,217284,0.15,1.3792112474619924,4.0,1780852127,10000,analytic,10000,3.3677914568634325e-06,0.0022476741436225404,0.0014983450632375104,0.0022502115011681467,1.0011288814051653
stress_3x7_d7,highly_sparse,Highly skewed and sparse,variant_2,3,7,54321,217284,0.15,1.3792112474619924,4.0,1780852127,10000,jackknife,10000,1.861926324067298e-06,0.0022476741436225404,0.0008283791177427797,0.00225011330912712,1.0010851953391466
