configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,population,mi,v,tau2,mean_vhat,var_vhat,mean_vhat_over_v,n_var_ihat_over_v,population_first_order_df,empirical_moment_df,median_plugin_df,first_order_var_ratio
config_a576d769e04b82a5,pair_8530c1b9f8c78768,5x5,different_skew,500,500,0.02,0.02,main,p,0.019999999999999993,0.05214806161474724,0.3869967567731718,0.07860813343385817,0.0008031211920779414,1.5074027873670406,1.3842063950385415,7.026984806927964,15.388060240242215,12.902624911280572,1.0376329749821007
config_a576d769e04b82a5,pair_8530c1b9f8c78768,5x5,different_skew,500,500,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.07960979305562788,0.0010937365656851848,1.3444078494147247,1.2292923694879616,6.208253297800419,11.5891145074583,9.570459650296662,0.9682360595964616
config_66a5ffeeb7d78344,pair_8530c1b9f8c78768,5x5,different_skew,1000,1000,0.02,0.02,main,p,0.019999999999999993,0.05214806161474724,0.3869967567731718,0.0671562058931624,0.00039964460887178876,1.2877986988143568,1.176454485480071,14.053969613855928,22.569832745631626,20.720904116832806,1.0326820622582895
config_66a5ffeeb7d78344,pair_8530c1b9f8c78768,5x5,different_skew,1000,1000,0.02,0.02,main,q,0.019999999999999907,0.05921550747437636,0.5648088370830915,0.07185380417186826,0.000554358958154265,1.2134288337047643,1.1513895595782273,12.416506595600838,18.62680885020518,16.80672051936248,0.9814983791988914
config_4a627aeebbc0a559,pair_57c0709ba92e2e9a,8x8,uniform,2,2,0.02,0.02,main,p,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.0,0.0,0.0,5.352996543963877,0.04832343360840822,,,0.0
config_4a627aeebbc0a559,pair_57c0709ba92e2e9a,8x8,uniform,2,2,0.02,0.02,main,q,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.0,0.0,0.0,5.3818460056814175,0.04832343360840822,,,0.0
config_bca1f61223f79451,pair_57c0709ba92e2e9a,8x8,uniform,5,5,0.02,0.02,main,p,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.16895287951712507,0.010639224280820096,5.278974993800135,13.756145365872657,0.12080858402102053,5.366006908715691,0.611518770826564,0.6274018227979883
config_bca1f61223f79451,pair_57c0709ba92e2e9a,8x8,uniform,5,5,0.02,0.02,main,q,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.16876799204646056,0.010720847864715628,5.273198138518981,13.780763820151138,0.12080858402102053,5.313504211385371,0.611518770826564,0.6322152174560633
config_e8f9e4c4f5c449af,pair_57c0709ba92e2e9a,8x8,uniform,10,10,0.02,0.02,main,p,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.3174595709416385,0.019782714412373413,9.919103724855809,15.42638240063291,0.24161716804204106,10.188751359562104,4.3642213696334355,2.333198502937921
config_e8f9e4c4f5c449af,pair_57c0709ba92e2e9a,8x8,uniform,10,10,0.02,0.02,main,q,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.31676137677098104,0.01998900513376661,9.897288473300156,15.592626366297425,0.24161716804204106,10.03929601722408,4.387235805705545,2.3575286930367856
config_313a5e5c05280f9e,pair_57c0709ba92e2e9a,8x8,uniform,20,20,0.02,0.02,main,p,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.3451956600713928,0.014289511577325283,10.785724769494138,11.698944209235066,0.4832343360840821,16.677972943625132,14.377142681705148,3.370646345587059
config_313a5e5c05280f9e,pair_57c0709ba92e2e9a,8x8,uniform,20,20,0.02,0.02,main,q,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.3449924766276042,0.014015364376425638,10.779376251954929,11.819123145021575,0.4832343360840821,16.984190454561958,14.180712322100375,3.3059798063659698
config_7216a26255b81d99,pair_57c0709ba92e2e9a,8x8,uniform,50,50,0.02,0.02,main,p,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.2543080300589493,0.0037031522189116613,7.945918028983296,8.8969759440346,1.2080858402102055,34.92839091095771,14.614894165068717,2.183772416972209
config_7216a26255b81d99,pair_57c0709ba92e2e9a,8x8,uniform,50,50,0.02,0.02,main,q,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.25428248768774614,0.003701046595132738,7.945119951204158,8.972886098299064,1.2080858402102055,34.941242636449296,14.747811266922566,2.182530717237197
config_97504996f23f947c,pair_57c0709ba92e2e9a,8x8,uniform,100,100,0.02,0.02,main,p,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.2309073308459153,0.001810251047140459,7.21475732704022,8.40020702986243,2.416171680420411,58.90696268079328,17.75407442056433,2.135033112790709
config_97504996f23f947c,pair_57c0709ba92e2e9a,8x8,uniform,100,100,0.02,0.02,main,q,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.2310797515240038,0.0017796972773660605,7.2201446542680525,8.332425080394458,2.416171680420411,60.00779148622825,17.851387298020228,2.0989976080512034
