configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,replicates,pilot_sd,standardized_bias,mean_se2_over_empirical_var,empirical_var_over_first_order,normal_wald_rate,independent_mc_sd_rate,population_first_order_sd_rate,median_combined_df,numerator_se2_correlation
config_4a627aeebbc0a559,pair_57c0709ba92e2e9a,8x8,uniform,2,2,0.02,0.02,main,20000,0.41578129039685763,0.0005001286949913103,0.0,5.401493929122082,0.0,0.0,0.3549,,
config_bca1f61223f79451,pair_57c0709ba92e2e9a,8x8,uniform,5,5,0.02,0.02,main,20000,0.42060683795073167,0.0036454073029536893,0.3800875004546955,13.819001794444222,0.26825,0.06315,0.68535,1.2503092987150597,-0.008511792123408505
config_e8f9e4c4f5c449af,pair_57c0709ba92e2e9a,8x8,uniform,10,10,0.02,0.02,main,20000,0.31554887310374474,0.017018714600278054,0.6358679068685311,15.555618308203579,0.13865,0.04675,0.6148,8.72021029436444,0.0028891433742732936
config_313a5e5c05280f9e,pair_57c0709ba92e2e9a,8x8,uniform,20,20,0.02,0.02,main,20000,0.19434272708651523,-0.007290048794864916,0.914452404496442,11.801048412423418,0.07065,0.04845,0.56885,29.616919406894638,0.0003727422342442461
config_7216a26255b81d99,pair_57c0709ba92e2e9a,8x8,uniform,50,50,0.02,0.02,main,20000,0.10660383262303413,0.002440479468818965,0.8952625821566649,8.877070171935182,0.0691,0.05245,0.51115,29.572188836805818,-0.006765314787627473
config_97504996f23f947c,pair_57c0709ba92e2e9a,8x8,uniform,100,100,0.02,0.02,main,20000,0.07325991868248279,-0.014019327257174394,0.8607228331892035,8.38468739785457,0.0705,0.0502,0.4955,35.72820309767016,0.0029360259655140403
config_df2386b657c0b987,pair_57c0709ba92e2e9a,8x8,uniform,250,250,0.02,0.02,main,20000,0.034508288743835505,0.008431127313546937,1.193179424593445,4.650941386697035,0.031,0.0498,0.35955,63.73385948072536,-0.009159328891402117
config_6764faba76c52a5c,pair_57c0709ba92e2e9a,8x8,uniform,500,500,0.02,0.02,main,20000,0.018465734005768234,0.002541582571650617,1.365693608452503,2.663527384140918,0.02285,0.05215,0.2272,77.0177628317498,0.0023763059337680854
config_621be532862cd442,pair_57c0709ba92e2e9a,8x8,uniform,1000,1000,0.02,0.02,main,20000,0.01083334721744677,0.0036185607534346977,1.301562682367187,1.83349334029139,0.02345,0.0472,0.14475,97.96352208208235,0.0013692789562693073
config_7bd6236dc28bb6ef,pair_6271495019b80969,8x8,same_skew,2,2,0.02,0.02,main,20000,0.336237349353649,-0.004226037716747981,0.0,1.6430121429289961,0.0,0.23345,0.23345,,
config_61f41f16d1459411,pair_6271495019b80969,8x8,same_skew,5,5,0.02,0.02,main,20000,0.31334509767830165,-0.00208070762355037,0.3079256615169356,3.567259343311563,0.2269,0.0457,0.29965,2.9968730906217065,-0.007174660952663174
config_d66e7dd03810d68b,pair_6271495019b80969,8x8,same_skew,10,10,0.02,0.02,main,20000,0.26238200223997926,0.0007700181901065145,0.4909753656166322,5.002498354885156,0.09305,0.0576,0.4058,24.241207702970286,0.0011951158465120506
config_e005ea8a05c1ddad,pair_6271495019b80969,8x8,same_skew,20,20,0.02,0.02,main,20000,0.1965743737066074,-0.012858956534242462,0.6816453574761703,5.615684079441307,0.08585,0.05495,0.4185,23.219614742256166,-0.0007747458776972515
config_69f90648310fbab3,pair_6271495019b80969,8x8,same_skew,50,50,0.02,0.02,main,20000,0.11281427032395933,-0.0010886383234392002,1.0079455627297569,4.6239907073774456,0.05315,0.05265,0.36015,15.022740029610446,0.005355506471891987
config_321def8adfc1c077,pair_6271495019b80969,8x8,same_skew,100,100,0.02,0.02,main,20000,0.06484095914684267,-0.009821423333571283,1.3578135085348042,3.0550458441406674,0.0236,0.0513,0.2606,16.362081376849886,-0.005092596623661343
config_8551ef9908a31392,pair_6271495019b80969,8x8,same_skew,250,250,0.02,0.02,main,20000,0.030317957303201283,0.0016865763663697498,1.615984309885115,1.669778071992563,0.0101,0.05165,0.12765,22.421274472665,-0.0003196064383794049
config_2208af6ed7c35469,pair_6271495019b80969,8x8,same_skew,500,500,0.02,0.02,main,20000,0.01886991603095203,-0.00809426068627494,1.4415152105088909,1.29368579747496,0.0146,0.05155,0.08725,29.534999118153465,0.0002758018302082099
config_9c198e1bda1059bd,pair_6271495019b80969,8x8,same_skew,1000,1000,0.02,0.02,main,20000,0.013023584693863242,-0.003859215764958552,1.1425110193891708,1.2324801917586048,0.0313,0.05015,0.0765,39.4861338513788,0.0001350944612419557
config_3a88094163a8b96f,pair_3081fe9cc66e6ec5,8x8,different_skew,2,2,0.02,0.02,main,20000,0.38394217483551935,0.2259386317333846,0.0,2.2827609775862663,0.0,0.0,0.32795,,
config_3366bea6f0a32ffe,pair_3081fe9cc66e6ec5,8x8,different_skew,5,5,0.02,0.02,main,20000,0.3672576230461578,0.34853567160661836,0.30870495646061985,5.221682309183371,0.29635,0.0564,0.4044,2.996873090621708,0.09589535335803512
config_3b6dfd437a845f6f,pair_3081fe9cc66e6ec5,8x8,different_skew,10,10,0.02,0.02,main,20000,0.2987504798357422,0.4733763966980503,0.5047946712669827,6.9106042997098465,0.183,0.0828,0.51245,24.372705611593332,0.09315287212371723
config_316fde9cfdd3e098,pair_3081fe9cc66e6ec5,8x8,different_skew,20,20,0.02,0.02,main,20000,0.21979735742688744,0.6081122510509113,0.6929020157997167,7.481242495421352,0.18185,0.09135,0.5472,28.478005961140457,0.033554335390526824
config_44d3ece9bf98c31b,pair_3081fe9cc66e6ec5,8x8,different_skew,50,50,0.02,0.02,main,20000,0.11716352194090049,0.8100019299005267,1.0862872212147456,5.31439270908809,0.13465,0.12375,0.5324,19.810468978970974,-0.08170493576213513
config_5b2b6655d247b745,pair_3081fe9cc66e6ec5,8x8,different_skew,100,100,0.02,0.02,main,20000,0.06369502039973096,0.9516878839754452,1.495431924319532,3.1413025374941936,0.0947,0.1577,0.46155,20.533868265567055,-0.17362119887280586
config_5d243a39757905cf,pair_3081fe9cc66e6ec5,8x8,different_skew,250,250,0.02,0.02,main,20000,0.029438123966509425,0.9003537920963351,1.6556938181122642,1.6774866452068526,0.057,0.14275,0.2749,25.256309496800164,-0.11104493589955704
config_3bea792a31c1065c,pair_3081fe9cc66e6ec5,8x8,different_skew,500,500,0.02,0.02,main,20000,0.01910806822834278,0.49382179213763816,1.330993744303412,1.413521354979281,0.0418,0.07695,0.1384,31.07417916503249,-0.08789916945372082
config_509394888d3892ed,pair_3081fe9cc66e6ec5,8x8,different_skew,1000,1000,0.02,0.02,main,20000,0.013203406168261293,0.06162507661627949,1.0886719948444608,1.349804183675376,0.0373,0.049,0.088,43.60678326690015,-0.08889820450949051
config_faf01d01d7f4da99,pair_b1768989ebd518b8,3x3,different_skew,20,20,0.0001,0.0001,baseline,20000,0.08882538338035476,0.3344554646218208,1.278178093190167,385.6662980362906,0.0257,0.06405,0.915,3.4305329221995033,-0.10295720270012539
